10,2
kaufmann s wwe,allun
maurermeisters wwe,andersen
kaufmann s wwe,andersen
materialhandlung en gros und en detail und schiffsrhederei,andersen
manufacturwaarenhandlung,andersen
witwe des verstorbenen ehemannes lars,andersen
steuerm wwe,andersen
manufacturwaarenhandlung,andersen
siehe andresen c e l,andresen
holz colonial u farbenhandlung,andresen
firma boysen andresen farbe u gewrzwaarenhandlung,andresen
schiffers wwe,andresen
o nr,andresen
branntweinbrennerei,andresen
chocolade u siegellackfabrikant,andersen
destillation,andresen
gewrz farbe und weinhandlung destillation,andresen sohn
hker s wwe,andresen
schiffer s wwe,angel
hker s wwe,arff
zu st nicolai,aschenfeldt
neuer flensburger laden manufacturwaarenhandlung u wollwaarenfabrik,asmus
von tuch coating muktum uud gestampften zeugen,baade
o nr,backens
o nr,backens
stampf grtzmhle,balle
commiss u speditionsgesch colonialwaarenhandlung en gros fabrik von grner u weier seife,bang
klempner s wwe,barlach
manufacturwaarenhandlung en gros und en detail,barm petersen
o nr,barm
branntweinbrennerei,bassilius
gewrzhandlung,bayer
tabaks und cigarrenfabrik colonialhandlung,beck
gewrzwaarenhandlung,beck
steindruckerei,behrens
material und weinhandlung,bendt
schneider s wwe,berg
lohgerberei,berlitz
und daguerreotypp atelier,besser
witwe des verstorbenen ehemannes marcus,besser
holzhandlung,biehl
lohgerberei,bielenberg
schiffer s wwe,biester
colonial und russische productenhandlung und rhederei,birck
fuhrmann s wwe,bock
gerichtsdiener s wwe,bonnichsen
polizeidiener s wwe,boode
stuhlmchr wwe,bornholdt
manufacturwaarenhdlg,both
s c j andresen,boysen andresen
lorenz sohn hanf und flachshandlung geschfte auf westindien rhederei,boysen
handlung mit gewrzwaaren und prparirten oelfarben,boysen
bierbrauerei,brensen
zimmermeister s wwe,bttcher
stuhlmacher s wwe,braun
stuhlmacher s wwe,brutigam
stuhlmacher s wwe,brutigam
schiffer s wwe,brix
zuckerfabrik u rhederei,brix
o nr,brodersen
zimmergesellens wwe,brodersen
fuhrmann s wwe,bruhn
material u farbewaarenh,bruhn
schneider s wwe,buchhagen
eisen und galanteriehandlung,bucka
manufacturwaarenhandl,bune
bierbrauerei,buntzen
branntweinbrennerei,buntzen
branntweinbrennerei,buntzen
schreibw zu st nicolai,burgwardt
o weitere adr,burrmann
conditorei,busche von der
kunst sortiments u verlagsbuchhandlung u stahlfedernfabrik,butnuh comp
firma butnuh comp,butnuh
lager von fensterglas spiegeln und berliner goldleisten,butnuh
manufacturwaarenhandlung en gros und en detail,callsen
bildhauer s wwe,carlsen
materialwaarenhandlung commissions u speditionsgeschft,carlsen
witwe des verstorbenen ehemannes carsten,carstensen
zuckerfabr,christiansen petersen
schuster s wwe,christiansen
o nr,christiansen s garten
handel auf ost u westindien oelmhlen schiffsrhederei,christiansen
christiansen jun und chef der christiansgarde,christiansen
hker s wwe,christiansen
christiansen s daselbst,christiansen
oelfabrik destill und flachshandel,christiansen
o nr,christiansen s oelmhle
i firma j holst siehe daselbst,christiansen
witwe des verstorbenen ehemannes hans,christiansen
hker s wwe,christiansen
witwe des verstorbenen ehemannes snke,christiansen
witwe des verstorbenen ehemannes claus,clausen
twisthandlung en gros,clausen
schlosser s wwe,clausen
rucherei,clausen
branntwbrei,clausen
weinhandlung,clausen
hker s wwe,clausen
local balllocal der harmonie,concordia die gesellschaft
schiffer s wwe,collund
manufacturwaarenhandlung,commentz comp
firma commentz co siehe dort,commentz
journal lesezirkel,conrau
berseeische geschfte auf westindien sdsee grnland und island,cornick
sder st jrgen,crispien
oberpolizeidiener s wwe,damm
kupfer und messingfabrik zu krusaue comptoir bei lorenzen gorrissen,danielsen gorissen
eisenwaarenhandlung en gros und detail,danielsen
eisenfabrik und handlung en gros lager von gueisenwaaren von carlshtte u associe der fa danielsen gorissen,danielsen
schiffer s wwe,danneberg
schneider s wwe,dannhuser
tischler s wwe,decker
schuster s wwe,delfs
stadtmusikus wwe,demuth
holz colonial farbewaaren und flachshandlung,detlessen
sster st jrgen,detlessen
lorenz sohn getraide und malzhandel und unternehmungen auf westindien,detlessen
witwe des verstorbenen ehemannes john,detlessen
witwe des verstorbenen ehemannes lorenz jun,detlessen
colonialhandl destillation,detlessen
sen,diedrichsen
materialhandlung und amidamfabrik,diedrichsen
mode und wollenwaarenhandlung,discherling
eisengieerei und maschinenbaufabrik,dittmann jensen
firma dittmann jensen siehe daselbst,dittmann
o nr zur erholung,dodt
hauptagentur fr feuerschaden und lebensversicherung,dll
zur stadt hamburg,dll
schlosser s wwe,duseberg
bierbrauerei,drkoop
leihbibliothek,ebeling
manufacturwaarenhandlung,ebeling jessen
tabakfabrik und materialhdlg,ebeling
manufacturwaarenh,ebsen jacobsen
firma ebsen jacobsen siehe dort,ebsen
norder st jrgen,ebsen
bttcher s wwe,ehrhardt
gewrz u weinhdlg,eimcke
o nr,elingius
weinhandlung commissions u speditionsgeschft,ell
gewrzwaarenhandlung,ell
gewrz farbewaaren u weinhandlung,ellay
lohgerberei,engel
