0,10
point 463401 597 5770534 646,137 546
point 464331 484 5769398 73,129 428
point 465007 142 5769064 742,118 171
point 465225 073 5772439 841,156 450
point 468231 003 5772398 784,132 627
point 466209 2 5772536 806,140 180
point 466135 144 5772843 317,151 408
point 466099 273 5773128 637,144 495
point 466124 277 5773467 349,135 467
point 467330 932 5772349 603,142 859
point 469618 736 5772240 341,109 028
point 470229 571 5772259 133,126 501
point 465034 537 5771023 26,132 948
point 463072 769 5769907 007,115 053
point 463155 359 5769799 935,119 131
point 463317 364 5769090 313,104 337
point 465330 749 5768541 717,100 898
point 473734 954 5769409 651,79 459
point 467135 878 5771861 884,151 126
point 466720 565 5771975 829,157 278
point 465849 92 5771900 185,159 087
point 468016 278 5772068 402,131 555
point 466777 116 5770913 64,149 284
point 466717 355 5771621 687,154 422
point 467005 458 5771901 362,154 468
point 467323 532 5771536 001,145 145
point 467851 588 5771241 233,142 870
point 470400 552 5769512 083,97 499
point 471135 484 5769162 754,120 756
point 466598 424 5769875 669,126 977
point 469847 997 5770233 748,110 693
point 470193 761 5770450 521,95 515
point 467266 215 5768800 217,125 271
point 467922 997 5768466 987,111 882
point 471513 87 5769979 569,136 595
point 471312 532 5769473 265,127 748
point 471590 84 5769652 87,131 043
point 471891 532 5769751 915,129 279
point 472661 269 5769883 48,121 127
point 473615 767 5769096 059,81 390
point 470034 56 5771657 808,96 976
point 469923 056 5773143 523,132 145
point 470309 895 5772660 706,133 130
point 469102 343 5772164 948,121 076
point 462428 486 5768919 528,103 789
point 465390 838 5769449 132,94 254
point 465444 509 5769641 952,104 942
point 465752 659 5770160 794,126 978
point 466111 526 5770351 718,135 750
point 466566 343 5770248 743,130 562
point 466851 061 5770082 848,135 185
point 466773 246 5769544 999,131 048
point 466897 187 5768888 266,127 518
point 468150 337 5771357 864,141 289
point 468983 767 5771502 937,123 495
point 468308 496 5770889 097,138 769
point 468480 024 5770289 34,128 950
point 469047 786 5769914 79,128 308
point 469215 297 5769508 342,128 300
point 469600 132 5768265 504,104 095
point 468391 061 5768951 697,92 654
point 469299 257 5770096 77,124 311
point 470544 768 5770755 453,116 130
point 470744 678 5769331 027,105 787
point 470585 759 5768537 364,99 548
point 471222 482 5768428 421,108 547
point 473054 768 5769657 881,108 245
point 473033 841 5769085 98,83 717
point 473161 037 5768623 387,84 512
point 472552 928 5769169 888,100 185
point 472240 647 5769052 453,109 227
point 471589 889 5769204 139,117 704
point 463894 366 5769964 568,134 971
point 474205 206 5764546 275,82 905
point 475111 973 5764860 294,92 391
point 475520 26 5765541 167,103 748
point 476114 733 5765887 981,118 017
point 476614 791 5766099 262,122 396
point 475658 946 5767608 849,102 586
point 476290 895 5767598 174,115 642
point 474929 94 5767301 313,102 684
point 474675 599 5767620 147,98 453
point 474091 975 5765778 331,84 751
point 474608 27 5766069 472,87 876
point 476687 254 5767326 113,122 584
point 475700 772 5767136 122,102 495
point 475013 428 5765722 687,97 244
point 474251 331 5766496 833,94 389
point 475511 774 5761909 772,112 116
point 475132 84 5763854 695,86 677
point 476368 885 5761728 764,101 749
point 476187 894 5762959 706,93 195
point 474902 677 5759418 708,152 320
point 475279 155 5759138 321,154 896
point 475793 886 5758836 336,161 982
point 475705 835 5760444 652,126 532
point 475662 691 5759515 072,140 264
point 474374 447 5759711 809,144 754
point 474655 028 5758183 048,211 790
point 476042 523 5758214 651,181 242
point 474121 046 5758498 01,189 388
point 475075 322 5766395 927,89 220
point 476231 669 5766430 312,107 056
point 474432 792 5767167 925,100 027
point 474130 339 5767906 538,93 957
point 475653 742 5768203 409,102 909
point 476888 221 5767091 843,115 544
point 476164 43 5762237 775,108 335
point 476144 455 5763209 386,89 817
point 475668 249 5763585 937,88 519
point 474783 166 5761333 143,103 314
point 474343 942 5761329 247,109 806
point 474911 932 5762404 717,104 357
point 474249 202 5762600 644,103 038
point 474285 595 5763117 52,96 605
point 474185 237 5763333 348,95 435
point 474012 011 5763770 29,92 674
point 474125 27 5764068 071,89 408
point 474586 788 5764052 167,84 203
point 474995 376 5763845 032,86 327
point 475275 828 5764761 77,95 767
point 475517 645 5759385 912,145 883
point 475737 566 5759762 764,135 081
point 475543 046 5760118 823,129 108
point 475628 215 5760826 821,121 205
point 475198 981 5760363 227,130 526
point 474558 029 5760122 623,137 131
point 474523 042 5760058 648,136 989
point 474076 196 5758681 215,211 150
point 475762 479 5756544 031,174 329
point 475339 658 5756973 869,215 913
point 475379 655 5757394 703,240 598
point 475069 778 5757591 631,244 323
point 476136 389 5758530 231,176 161
point 475326 681 5757666 597,217 513
point 463926 664 5761419 211,133 002
point 463124 054 5761787 337,133 638
point 463008 801 5761226 461,123 537
point 462918 695 5766938 441,114 405
point 463605 494 5767163 85,112 019
point 463923 3 5767433 54,110 594
point 464174 537 5767420 975,110 213
point 464492 97 5767534 641,108 391
point 464982 187 5766712 739,110 593
point 463991 302 5766208 677,122 378
point 464728 943 5767808 767,98 835
point 462087 629 5765687 241,163 151
point 462405 187 5765341 802,154 719
point 464288 55 5765504 184,145 895
point 463026 77 5766212 367,135 973
point 463519 967 5762243 715,158 339
point 464764 701 5761516 788,141 900
point 462824 698 5766449 813,130 750
point 462513 356 5766678 883,124 455
point 464309 179 5766398 597,118 596
point 464862 618 5759870 537,116 957
point 464653 564 5759458 983,113 202
point 463753 235 5760771 136,119 322
point 464302 481 5759596 811,109 736
point 464326 505 5760811 15,121 815
point 464804 632 5765446 555,133 398
point 465047 891 5765848 538,116 631
