5,4
"691,293",39.53
"615,237",35.85
"715,892",39.04
"439,604",35.82
"548,629",38.89
"467,252",35.77
"820,812",34.68
"695,845",37.78
"656,137",35.32
"671,276",38.57
"420,264",35.09
"385,976",38.19
"430,038",35.16
"320,609",38.25
"117,814",38.25
"502,312",35.23
"452,175",38.29
"912,700",35.09
"578,024",38.16
"741,641",34.84
"809,845",37.75
"815,355",34.69
"1,524,870",37.59
"605,490",35.38
"403,094",38.59
"604,728",35.25
"441,820",38.37
"644,078",35.33
"298,436",38.38
"541,684",35.41
"314,394",38.43
"515,538",35.44
"429,729",38.43
"594,501",35.66
"326,572",38.75
"549,422",35.79
"406,965",38.83
"790,530",35.67
"351,378",38.59
"553,171",35.18
"595,495",38.36
"1,038,465",36.04
"1,864,709",38.70
"709,742",36.07
"347,072",38.68
"650,419",35.99
"366,512",38.65
"623,066",36.07
"503,316",38.67
"629,747",36.06
"483,443",38.57
"1,498,216",36.32
"360,831",38.73
"3,374,096",34.39
"678,203",37.54
"567,173",36.36
"553,163",38.85
"2,065,705",34.53
"479,932",37.75
"674,001",34.72
"702,075",37.94
"617,374",34.97
"441,728",38.23
"635,420",35.29
"490,273",38.47
"942,405",36.45
"909,301",36.97
"1,092,537",39.35
"476,745",36.76
"355,714",39.51
"838,684",37.05
"465,972",39.75
"496,034",36.77
"478,090",39.52
"397,629",37.03
"261,009",39.77
"393,138",36.63
"653,624",39.42
"426,655",36.79
"300,525",39.46
"604,426",36.58
"621,527",38.96
"458,452",36.66
"456,854",39.31
"871,294",36.80
"558,011",39.47
"968,045",36.94
"349,841",39.62
"772,721",37.01
"368,445",39.76
"416,315",36.82
"1,354,955",39.00
"100,673",39.06
"480,109",36.78
"365,011",39.28
"736,682",36.80
"1,073,809",39.26
"539,110",37.02
"787,200",39.44
volume,close
