0,1
apr 2005,4
apr 2006,8
apr 2007,8
apr 2008,8
apr 2009,152
apr 2010,225
apr 2011,230
apr 2012,1.2 k
apr 2013,2.5 k
apr 2014,3.9 k
aug 2005,7
aug 2006,8
aug 2007,8
aug 2008,8
aug 2009,172
aug 2010,228
aug 2011,231
aug 2012,1.3 k
aug 2013,3.1 k
dec 2005,8
dec 2006,8
dec 2007,8
dec 2008,102
dec 2009,225
dec 2010,229
dec 2011,231
dec 2012,1.8 k
dec 2013,3.5 k
feb 2005,1
feb 2006,8
feb 2007,8
feb 2008,8
feb 2009,118
feb 2010,225
feb 2011,230
feb 2012,754
feb 2013,2.2 k
feb 2014,3.7 k
jan 2006,8
jan 2007,8
jan 2008,8
jan 2009,114
jan 2010,225
jan 2011,229
jan 2012,246
jan 2013,2.1 k
jan 2014,3.6 k
jul 2005,7
jul 2006,8
jul 2007,8
jul 2008,8
jul 2009,170
jul 2010,226
jul 2011,231
jul 2012,1.3 k
jul 2013,3.0 k
jun 2005,7
jun 2006,8
jun 2007,8
jun 2008,8
jun 2009,169
jun 2010,225
jun 2011,231
jun 2012,1.3 k
jun 2013,2.8 k
maj 2005,7
maj 2006,8
maj 2007,8
maj 2008,8
maj 2009,156
maj 2010,225
maj 2011,231
maj 2012,1.2 k
maj 2013,2.7 k
maj 2014,4.1 k
mar 2005,4
mar 2006,8
mar 2007,8
mar 2008,8
mar 2009,134
mar 2010,225
mar 2011,230
mar 2012,1.0 k
mar 2013,2.4 k
mar 2014,3.8 k
nov 2005,8
nov 2006,8
nov 2007,8
nov 2008,9
nov 2009,224
nov 2010,229
nov 2011,231
nov 2012,1.7 k
nov 2013,3.4 k
okt 2005,8
okt 2006,8
okt 2007,8
okt 2008,9
okt 2009,217
okt 2010,229
okt 2011,231
okt 2012,1.6 k
okt 2013,3.4 k
sep 2005,7
sep 2006,8
sep 2007,8
sep 2008,8
sep 2009,206
sep 2010,229
sep 2011,231
sep 2012,1.4 k
sep 2013,3.3 k
