5,3
steeplechase 31720,little b's poem
savant 2109,don't explain
highnote 7238,time dream's me
columbia 53416,catch me you can
concord 4638,beatrice
cmd 8056,estate
steeplechase 31686,straight ahead
savant 2109,don't explain
promrose 015,when suuny gets blue
reservoir 145,flight eagle
smallslive 0004,delilah
pvc 1037,liberty city
verve 827821 2,john brow's body
verve 825373 2,isn't lovely day
steeplechase 31250,jitterbug waltz
highnote 7016,isfahan
contemporary 5031,jordu
greenhill 5836,sweet lovely
crisscross 1316,you know i care
columbia 90925,paraphernalia
evidence 22124 2,do what you gotta do
verve 519699 2,i should care
verve 533477 2,manhattan reflections
highnote 7084,once lifetime
bluenote 53355 2,ah so
crisscross 1283,hittin jug
bluenote 55484 2,old devil moon
tcb 99252,christina
mac 1003,old man jazz
maxjazz 113,west coast blues
verve 529555 2,you go my head
jazmo001,caravan
usa 965,nite flight
capri 7411602,nu groove
elektramus 1015,why wait
sunnyside 1305,laura
grp 9819,chic's tune
maxjazz 405,taking chance love
crisscross 1282,maze
verve 8396,let my people
highnote 7241,wagon wheels
mcg 1023,manha de carnaval
crisscross 1344,things we did last summer
numoon 3464,another moment gone
steeplechase 31137,blues wim maxine
savant 2119,wise charlie's blues
capri 74086 2,cryin through night
doubletime 159,point set ahmad
bluenote 84431 2,getting jettin
mama 1042,night dreamer
steeplechase 31409,heaven's sake
bluenote 46757,rhe slump
planetarts 301209,quiet it's kept
prestige 978 2,diggin dex
blujazz 5008,caribe
columbia 64994,dat dere
alltribe 725,vee cee
label number,title
label number,title
label number,title
label number,title
label number,title
label number,title
label number,title
label number,title
