0,9
hammond,11
khudobin,996
lindback,621
montoya,678
niemi,1708
nilsson,491
raanta,536
stalock,584
b bishop,1625
b elliott,628
b holtby,1349
b johnson,622
b scrivens,1111
c anderson,1530
c crawford,1943
c desjardins,11
c heeter,33
c hutton,915
c johnson,33
c knapp,28
c mcelhinney,639
c nilstorp,14
c price,2023
c schneider,1019
c talbot,538
c ward,740
d dubnyk,842
d ellis,430
d kuemper,758
d macintyre,47
d tokarski,230
e lack,959
e nabokov,983
f andersen,893
h lundqvist,2349
i bryzgalov,971
j bernier,1649
j campbell,41
j curry,53
j enroth,760
j eriksson,25
j gibson,185
j giguere,554
j gustavsson,733
j halak,1275
j harding,644
j hiller,1305
j howard,1430
j labarbera,127
j macdonald,235
j markstrom,315
j ortio,172
j peters,575
j quick,1788
j reimer,997
j zatkoff,531
k gudlevskis,54
k lehtonen,1881
k poulin,731
k ramo,994
k simpson,5
m biron,29
m brodeur,875
m fleury,1970
m hackett,217
m hellberg,3
m hutchinson,83
m jones,474
m mazanec,586
m mckenna,103
m neuvirth,476
m smith,1712
m visentin,29
n backstrom,491
n khabibulin,60
n lawson,8
n lieuwen,173
n svedberg,33
name,saves
o pavalec,1481
p budaj,564
p grubauer,434
p mrazek,165
p rinne,582
r bachman,76
r berra,732
r emery,721
r lehner,1042
r luongo,1460
r miller,1897
s aittokallio,15
s bobrovsky,1766
s clemmensen,407
s mason,1729
s varlamov,2078
t greiss,576
t rask,1849
t thomas,1263
v fasth,307
