0,2
ep1193439a2,apr 3 2002
ep1538386a2,jun 8 2005
us5628327,may 13 1997
us5695501,dec 9 1997
us5873685,feb 23 1999
us5891157,apr 6 1999
us5957933,sep 28 1999
us5987960,nov 23 1999
us6006127,dec 21 1999
us6013035,jan 11 2000
us6030348,feb 29 2000
us6052611,apr 18 2000
us6055449,apr 25 2000
us6071288,jun 6 2000
us6118845,sep 12 2000
us6201984,mar 13 2001
us6226418,may 1 2001
us6226548,may 1 2001
us6246200,jun 12 2001
us6261300,jul 17 2001
us6273896,aug 14 2001
us6282437,aug 28 2001
us6298262,oct 2 2001
us6298569,oct 9 2001
us6340363,jan 22 2002
us6348058,feb 19 2002
us6351659,feb 26 2002
us6351662,feb 26 2002
us6379302,apr 30 2002
us6380958,apr 30 2002
us6408107,jun 18 2002
us6423077,jul 23 2002
us6434507,aug 13 2002
us6470207,oct 22 2002
us6474341,nov 5 2002
us6477400,nov 5 2002
us6482182,nov 19 2002
us6491699,dec 10 2002
us6497134,dec 24 2002
us6499488,dec 31 2002
us6529765,mar 4 2003
us6535756,mar 18 2003
us6546277,apr 8 2003
us6611141,aug 26 2003
us6633686,oct 14 2003
us6665554,dec 16 2003
us6669635,dec 30 2003
us6676669,jan 13 2004
us6702805,mar 9 2004
us6723106,apr 20 2004
us6782285,aug 24 2004
us6782288,aug 24 2004
us6788018,sep 7 2004
us6796988,sep 28 2004
us6823207,nov 23 2004
us6859660,feb 22 2005
us6896678,may 24 2005
us6902569,jun 7 2005
us6933695,aug 23 2005
us7152608,dec 26 2006
us7166114,jan 23 2007
us7204840,apr 17 2007
us7294106,nov 13 2007
us7347862,mar 25 2008
us7386090,jun 10 2008
us7416163,aug 26 2008
us7558617,jul 7 2009
us7625383,dec 1 2009
us7643867,jan 5 2010
us7670281,mar 2 2010
us7720522,may 18 2010
us7725162,may 25 2010
us7771436,aug 10 2010
us7780349,aug 24 2010
us7787934,aug 31 2010
us7873400,jan 18 2011
us7881770,feb 1 2011
us7892243,feb 22 2011
us7950306,may 31 2011
us8005571,aug 23 2011
us8007448,aug 30 2011
us8032204,oct 4 2011
us8041459,oct 18 2011
us8073530,dec 6 2011
us8170717,may 1 2012
us8185184,may 22 2012
us8251893,aug 28 2012
us8290570,oct 16 2012
us8313070,nov 20 2012
us8382765,feb 26 2013
us8396598,mar 12 2013
us8463360,jun 11 2013
us8480561,jul 9 2013
us8485484,jul 16 2013
us8491604,jul 23 2013
us8617173,dec 31 2013
us8617174,dec 31 2013
us8666476,mar 4 2014
wo1998025535a1,jun 18 1998
wo2000007503a1,feb 17 2000
