11,9
play description,wwpa
strikeout,2
foul flyball c,2
walk,1
walk cavarretta 2b,2
groundout 3b 1b,4
single,4
single edwards 3b,9
popfly 1b,6
strikeout,7
groundout ss 2b forceout 2b,5
single,3
single walker 2b,4
strikeout,4
flyball rf,3
double walker scores cavarretta scores,11
walk,1
double edwards scores serena scores,19
flyball cf,4
popfly 3b,3
single cf,3
ground ball double play 2b ss 1b,7
walk,5
walk sauer 2b,8
home run sauer scores pafko scores,28
lineout 2b,2
single,2
popfly ss,3
flyball lf,2
flyball cf,2
lineout 2b,2
groundout 3b 1b,1
double lf,11
walk,3
strikeout,8
single pafko 3b northey 2b,9
single pafko scores northey scores smalley 3b,18
flyball rf smalley scores,2
borkowski caught stealing 2b c ss,1
single,0
walk verban 2b,1
flyball lf verban 3b,0
double verban scores cavarretta 3b,1
double cavarretta scores pafko scores,1
strikeout,0
strikeout,0
strikeout,2
flyball rf,2
single lf,1
groundout ss 2b forceout 2b,2
groundout ss 1b,2
flyball cf,2
walk,1
single mauch 3b kerr 2b adv throw,4
strikeout,6
double,7
home run jethroe scores,14
single,3
single holmes 2b,4
wild pitch holmes 3b gordon 2b,4
flyball lf,4
walk,1
single holmes scores gordon scores olmo 2b,9
walk olmo 3b marshall 2b,2
groundout 1b unassisted olmo scores marshall 3b kerr 2b,1
strikeout,2
groundout p 1b,2
home run,11
groundout ss 1b,1
single,1
strikeout,2
groundout p 1b,2
strikeout,1
walk,1
flyball cf,2
flyball rf,4
walk,4
flyball rf,5
strikeout,4
walk,7
groundout ss unassisted forceout 2b,7
popfly ss,6
double marshall scores,22
groundout 2b 1b,6
groundout 1b unassisted,2
flyball rf,1
double,2
walk,2
popfly ss,4
single cf,0
walk marshall 2b,1
double marshall scores kerr scores,2
foul flyball c,2
strikeout,1
single burris scores,1
groundout 2b 1b,1
