0,2
ep0254508a2,27 jan 1988
ep1415562a1,6 may 2004
us20100135600,3 jun 2010
us4563380,7 jan 1986
us4617214,14 oct 1986
us4679851,14 jul 1987
us4709453,1 dec 1987
us4710414,1 dec 1987
us4739635,26 apr 1988
us4770917,13 sep 1988
us4776636,11 oct 1988
us4814036,21 mar 1989
us4846815,11 jul 1989
us4872243,10 oct 1989
us4931343,5 jun 1990
us4933224,12 jun 1990
us4955113,11 sep 1990
us5058247,22 oct 1991
us5119643,9 jun 1992
us5180534,19 jan 1993
us5230851,27 jul 1993
us5318741,7 jun 1994
us5325569,5 jul 1994
us5326415,5 jul 1994
us5385706,31 jan 1995
us5392498,28 feb 1995
us5398387,21 mar 1995
us5482755,9 jan 1996
us5505747,9 apr 1996
us5540673,30 jul 1996
us5579562,3 dec 1996
us5605729,25 feb 1997
us5607635,4 mar 1997
us5611122,18 mar 1997
us5614232,25 mar 1997
us5625929,6 may 1997
us5639327,17 jun 1997
us5662853,2 sep 1997
us5667540,16 sep 1997
us5671511,30 sep 1997
us5671512,30 sep 1997
us5672186,30 sep 1997
us5679302,21 oct 1997
us5691026,25 nov 1997
us5691027,25 nov 1997
us5695845,9 dec 1997
us5713111,3 feb 1998
us5715542,10 feb 1998
us5720740,24 feb 1998
us5725423,10 mar 1998
us5755015,26 may 1998
us5761775,9 jun 1998
us5785784,28 jul 1998
us5792408,11 aug 1998
us5800845,1 sep 1998
us5840089,24 nov 1998
us5845375,8 dec 1998
us5852855,29 dec 1998
us5868987,9 feb 1999
us5879604,9 mar 1999
us5902427,11 may 1999
us5953797,21 sep 1999
us6000106,14 dec 1999
us6039911,21 mar 2000
us6054091,25 apr 2000
us6132660,17 oct 2000
us6162040,19 dec 2000
us6248276,19 jun 2001
us6280670,28 aug 2001
us6287665,11 sep 2001
us6357088,19 mar 2002
us6470540,29 oct 2002
us6526633,4 mar 2003
us6558602,6 may 2003
us6579161,17 jun 2003
us6708378,23 mar 2004
us6849142,1 feb 2005
us6869554,22 mar 2005
us6884157,26 apr 2005
us6982055,3 jan 2006
us6991843,31 jan 2006
us7044834,16 may 2006
us7052636,30 may 2006
us7052638,30 may 2006
us7067185,27 jun 2006
us7168139,30 jan 2007
us7185401,6 mar 2007
us7188396,13 mar 2007
us7254874,14 aug 2007
us7275290,2 oct 2007
us7670522,2 mar 2010
us7727440,1 jun 2010
us7748090,6 jul 2010
us7765651,3 aug 2010
us7854035,21 dec 2010
us8153228,10 apr 2012
us8263204,11 sep 2012
us8641278,4 feb 2014
usre38652,16 nov 2004
usre42475,21 jun 2011
wo1998014086a1,9 apr 1998
wo1999010161a1,4 mar 1999
wo1999041440a1,19 aug 1999
wo2003028499a1,10 apr 2003
wo2013071031a1,16 may 2013
wo2014004807a1,3 jan 2014
wo2014005043a1,3 jan 2014
