8,5
running,gerhardt offy
engine,eagle offy
engine,lola ford
engine,gerhardt offy
engine,eagle offy
engine,lola ford
crash,gerhardt offy
crash,eagle offy
engine,gerhardt offy
connecting rod,eagle offy
running,mongoose offy
universal joint,lotus pratt whitney
engine,gerhardt chevy
crash,vollstedt offy
crash,coyote ford
crash,brawner offy
oil leak,finley offy
did start,gerhardt offy
running,gerhardt offy
running,shrike offy
running,gerhardt offy
running,brawner offy
running,gerhardt offy
running,vollstedt ford
running,watson offy
status,chassis engine
