1,9
mr d,batiscan
mic fotherfy wife,fotherby fotherly
patrick nowlen,nowlin nowlan
james nowlen friend,nowlin nowlan
pat cahill sister,extra 1 6
patrick pursel wife one other two children under 12,purcel
mr dignond,extra 2 6
francis chambeau,wing
tom mcferson mcpherson,wing
john bell,from
betty calle milligan,nullegan
3 raft men,paid bridson
john clements,left bundle
william mcconnell friend,wing
ann collins two children under 12 years,left trunk sent brewery
mr bridson,extra luggage 1 8
william moore wife six children under 12 years,misnumbered
patrick mcdonald two others,misnumbered
matthew mcgorvan,mcgovern mcgowan
michael burke wife five others,all he had
edward ryan wife two children under 12 years,10 short
john quin wife,left bag 11
patrick millway wife,misnumbered
bryan mcnaghlin wife,mcnaughton mclaughlin
thomas nowlin friend,nowlen nowlan
james carrin carren mother three others,all he had
names,remarks
