0,2
chapter name,date added
waga na wa umishi 100,tuesday october 11 2011
waga na wa umishi 101,sunday october 16 2011
waga na wa umishi 102,thursday october 20 2011
waga na wa umishi 103,monday january 16 2012
waga na wa umishi 104,monday january 30 2012
waga na wa umishi 105,saturday february 25 2012
waga na wa umishi 106,sunday february 16 2014
waga na wa umishi 107,tuesday april 22 2014
waga na wa umishi 108,friday june 6 2014
waga na wa umishi 109,friday june 27 2014
waga na wa umishi 110,friday june 27 2014
waga na wa umishi 111,saturday july 5 2014
waga na wa umishi 112,wednesday july 23 2014
waga na wa umishi 78,saturday january 1 2011
waga na wa umishi 79,monday january 24 2011
waga na wa umishi 80,tuesday february 1 2011
waga na wa umishi 81,friday february 11 2011
waga na wa umishi 82,sunday february 13 2011
waga na wa umishi 83,friday february 18 2011
waga na wa umishi 84,thursday february 24 2011
waga na wa umishi 85,monday february 28 2011
waga na wa umishi 86,saturday march 5 2011
waga na wa umishi 88,thursday april 7 2011
waga na wa umishi 89,thursday april 21 2011
waga na wa umishi 90,sunday may 8 2011
waga na wa umishi 91,saturday june 4 2011
waga na wa umishi 92,saturday july 2 2011
waga na wa umishi 93,wednesday july 6 2011
waga na wa umishi 94,wednesday july 6 2011
waga na wa umishi 95,sunday july 17 2011
waga na wa umishi 96,thursday july 21 2011
waga na wa umishi 97,wednesday july 27 2011
waga na wa umishi 98,friday august 12 2011
waga na wa umishi 99,saturday october 8 2011
waga na wa umishi vol 01 ch 001 bolt from blue,tuesday june 15 2010
waga na wa umishi vol 01 ch 002 troublesome inheritance,tuesday june 15 2010
waga na wa umishi vol 01 ch 003 limit lowest depth,tuesday june 15 2010
waga na wa umishi vol 01 ch 004 bitter sea,tuesday june 15 2010
waga na wa umishi vol 01 ch 005 unforgettable words,tuesday june 15 2010
waga na wa umishi vol 01 ch 006 heavy memories,tuesday june 15 2010
waga na wa umishi vol 01 ch 007 unchoosable choice,tuesday june 15 2010
waga na wa umishi vol 01 ch 008 encounter past,tuesday june 15 2010
waga na wa umishi vol 02 ch 009 remembered face,tuesday june 15 2010
waga na wa umishi vol 02 ch 010 clear fog,tuesday june 15 2010
waga na wa umishi vol 02 ch 011 obstacle appears,tuesday june 15 2010
waga na wa umishi vol 02 ch 012 humiliating contract,tuesday june 15 2010
waga na wa umishi vol 02 ch 013 terrible beginning,tuesday june 15 2010
waga na wa umishi vol 02 ch 014 overlapping faces,tuesday june 15 2010
waga na wa umishi vol 02 ch 015 why it's impossible,tuesday june 15 2010
waga na wa umishi vol 02 ch 016 discovered clue,tuesday june 15 2010
waga na wa umishi vol 02 ch 017 broken space,tuesday june 15 2010
waga na wa umishi vol 02 ch 018 impossible experience,tuesday june 15 2010
waga na wa umishi vol 03 ch 019 stubborness small timers,tuesday june 15 2010
waga na wa umishi vol 03 ch 020 job known waiting,tuesday june 15 2010
waga na wa umishi vol 03 ch 021 sprouted desire,tuesday june 15 2010
waga na wa umishi vol 03 ch 021 sprouted desire,tuesday june 15 2010
waga na wa umishi vol 03 ch 022 understood feelings,tuesday june 15 2010
waga na wa umishi vol 03 ch 023 preparing trump card,tuesday june 15 2010
waga na wa umishi vol 03 ch 024 once lifetime moment,tuesday june 15 2010
