12,10
csium 134 cs 134,kanada
csium 137 cs 137,kanada
iod 131 i 131,kanada
kalium 40 k 40,kanada
beryllium 7 7,kanada
cobalt 60 co 60,kanada
radium 226 ra 226,kanada
radium 228 ra 228,kanada
thorium 228 th 228,kanada
uran 235 u 235,kanada
uran 238 u 238,kanada
natrium 22 na 22,kanada
chrom 51 cr 51,kanada
mangan 54 mn 54,kanada
cobalt 57 co 57,kanada
cobalt 58 co 58,kanada
eisen 59 fe 59,kanada
zink 65 zn 65,kanada
selen 75 se 75,kanada
strontium 85 sr 85,kanada
yttrium 88 y 88,kanada
zirkon 95 zr 95,kanada
niob 95 nb 95,kanada
ruthenium 103 ru 103,kanada
ruthenium 106 ru 106,kanada
silber 110m ag 110m,kanada
indium 111 111,kanada
antimon 124 sb 124,kanada
antimon 125 sb 125,kanada
tellur 123m te 123m,kanada
tellur 132 te 132,kanada
barium 140 ba 140,kanada
lanthan 140 la 140,kanada
cer 139 ce 139,kanada
cer 141 ce 141,kanada
cer 144 ce 144,kanada
thallium 201 tl 201,kanada
actinium 227 ac 227,kanada
americium 241 am 241,kanada
messzeit,kanada
