0,1
rundschreiben der senatorin fr finanzen nr 01 2018 reisekosten hhe des trennungstagegeldes und der auslandstage und auslandsbernachtungsgelder ab 1 januar 2018,01 01 2019 23 59
fachspezifische prfungsordnung fr den masterstudiengang information automation engineering der universitt bremen vom 17 april 2013,30 09 2019 23 59
gesetz ber das verbot des mitfhrens und der abgabe von glasflaschen oder trinkglsern bestimmten gebieten vom 11 april 2017,15 01 2019 23 59
verordnung ber die bestimmung eines hheren grundbetrages nach 86 des zwlften buches sozialgesetzbuch vom 29 april 2008,31 12 2019 23 59
erste verordnung fr untersttzende pdagogik vom 22 mai 2013,31 07 2019 23 59
gesetz ber hilfen und schutzmanahmen bei psychischen krankheiten psychkg vom 19 dezember 2000,31 12 2019 23 59
fachspezifische prfungsordnung fr das fach linguistik language sciences im zwei fcher bachelorstudium der universitt bremen vom 26 januar 2011,30 09 2019 23 59
fachspezifische prfungsordnung fr das fach kulturwissenschaft im zwei fcher bachelorstudium der universitt bremen vom 1 dezember 2010,30 09 2019 23 59
fachspezifische prfungsordnung fr den masterstudiengang communication information technology der universitt bremen vom 17 april 2013,01 04 2019 00 59
fachspezifische prfungsordnung fr den masterstudiengang berufspdagogik pflegewissenschaft der universitt bremen vom 7 mrz 2013,30 09 2019 23 59
fachspezifische prfungsordnung fr den masterstudiengang erziehungs und bildungswissenschaften der universitt bremen vom 1 juli 2013,30 09 2019 23 59
fachspezifische prfungsordnung fr das fach geographie im zwei fcher bachelorstudium der universitt bremen vom 9 februar 2011,30 09 2019 23 59
fachspezifische prfungsordnung fr den bachelorstudiengang soziologie der universitt bremen vom 19 september 2013,30 09 2019 23 59
fachspezifische prfungsordnung fr den bachelorstudiengang geographie vollfach der universitt bremen vom 12 september 2011,30 09 2019 23 59
verordnung zur senkung der kappungsgrenze gem 558 absatz 3 des brgerlichen gesetzbuchs kappungsgrenzen verordnung vom 5 august 2014,31 08 2019 23 59
dienstanweisung nr 437 zur einfhrung und des einsatzes des wohngeldfachverfahrens care4 wohngeld aufgabenbereich 07 bauordnung referat wohngeld,31 01 2019 23 59
dienstanweisung nr 438 sichere aufbewahrung von urkunden und vertrgen,28 02 2019 23 59
