0,8
frderbereich frderschwerpunkt,mio euro
gesundheitsforschung und gesundheitswirtschaft,596 2
aa gesundheitsforschung und gesundheitswirtschaft,590 6
ab strahlenschutz,5 6
b biokonomie,138 4
c zivile sicherheitsforschung,58 4
ernhrung landwirtschaft und verbraucherschutz,158 7
da ernhrung,8
db nachhaltige agrarwirtschaft und lndliche rume,132 5
dc gesundheitlicher und wirtschaftlicher verbraucherschutz,18 2
e energieforschung und energietechnologien,523 9
ea rationelle energieumwandlung,280 2
eb erneuerbare energien,162 5
ec kerntechnische sicherheit und entsorgung,70 8
ed beseitigung kerntechnischer anlagen,7 8
ef fusionsforschung,2 6
f klima umwelt nachhaltigkeit,420 2
fa klima klimaschutz globaler wandel,108 9
fb ksten meeres und polarforschung geowissenschaften,89 4
fc umwelt und nachhaltigkeitsforschung,145
fd kologie naturschutz nachhaltige nutzung,77
g informations und kommunikationstechnologien,403 6
ga softwaresysteme wissenstechnologien,134 4
gb kommunikationstechnologien und dienste,45 6
gc elektronik und elektroniksysteme,112 1
gd mikrosystemtechnik,39 9
ge multimedia entwicklung konvergenter ikt,71 7
h fahrzeug und verkehrstechnologien einschlielich maritimer technologien,123 5
ha fahrzeug und verkehrstechnologien,95 6
hb maritime technologien,27 9
i luft und raumfahrt,341 5
ia luftfahrt,121 3
ib nationale weltraumforschung und weltraumtechnik,219 4
ic europische weltraumorganisation esa,0 9
j forschung und entwicklung zur verbesserung der arbeitsbedingungen und im dienstleistungssektor,48 5
ja forschung zur verbesserung der arbeitsbedingungen,30 5
jb forschung im dienstleistungssektor,18
k nanotechnologien und werkstofftechnologien,148 4
ka nanotechnologien,41 9
kb werkstofftechnologien,106 5
l optische technologien,118 4
m produktionstechnologien,100 2
n raumordnung und stadtentwicklung bauforschung,39 8
na raumordnung stadtentwicklung und wohnen,10 4
nb bauforschung,29 4
o innovationen der bildung,361 8
oa bildungsberichtserstattung internationale assessments,225 4
ob forschung der bildung,119 4
oc neue medien der bildung,17
p geisteswissenschaften wirtschafts und sozialwissenschaften,379
pa geisteswissenschaftliche forschung,145 5
pb sozialwissenschaftliche forschung,77 1
pc wirtschafts und finanzwissenschaftliche forschung,14 8
pd infrastrukturen,141 6
q innovationsfrderung des mittelstandes,950 8
qa grnderfrderung,71 6
qb technologiefrderung des mittelstandes,523 8
qc technologietransfer und innovationsberatung,158 3
qd forschungsinfrastruktur mittelstand,197 2
r innovationsrelevante rahmenbedingungen und brige querschnittsaktivitten,205 4
rb strukturelle querschnittsaktivitten,29 9
rc demographischer wandel,40 4
rd sportfrderung und sportforschung,12 3
re sonstiges,122 8
t frderorganisationen umstrukturierung der forschung im beitrittsgebiet hochschulbau und berwiegend hochschulbezogene sonderprogramme,120 2
tb sonstiges,120 2
u grogerte der grundlagenforschung,214 1
zivile frderbereiche zusammen,5451 1
s wehrwissenschaftliche forschung,770 6
sa wehrmedizinische und wehrpsychologische forschung,5
sb wehrtechnische forschung,765 3
sd militrgeschichtliche forschung,0 4
ausgaben insgesamt,6221 7
