2,0
alfredstrasse,aktienstrasse
am zehnthof,alte hauptstrasse
auf der reihe,auf dem eichholz
barkhovenallee,bernhardstrasse
berliner strasse,bischof franz wolf strasse
berthold beitz boulevard,bochumer landstrasse
bottroper strasse,bonnemannstrasse
breslauer strasse,borbecker strasse
brosweg,brederbachstrasse
brueckstrasse,breloher steig
brunnenstrasse,breukelmannhof
byfanger strasse,byfanger strasse
deilbachbruecke,deilbachtal
deilbachtal,dellwiger strasse
dilldorfer strasse,dilldorfer strasse
eupenstrasse,dixbaeume
friedrich ebert strasse,elisabethstrasse
fulerumer strasse,eskenshof
gareisstrasse,fischlaker strasse
gladbecker strasse,frintroper strasse
grillostrasse,gerscheder strasse
hafenstrasse,hauptstrasse
harkortstrasse,haus horl strasse
hatzper strasse,heinz baecker strasse
hausackerstrasse,heissener strasse
heidhauser strasse,hinseler feld
hellweg,horster strasse
hohenzollernstrasse,klaumerbruch
honnschaftenstrasse,langenberger strasse
jacobsallee,lohstrasse
kerckhoffstrasse,maasstrasse
kraspothstrasse,marie juchacz strasse
langenberger strasse,moellhoven
maerkische strasse,nierenhofer strasse
muenchener strasse,oberhauser strasse
nierenhofer strasse,oberschlesienstrasse
raadter strasse,propsteistrasse
reckhammerweg,rheinstrasse
rubensstrasse,ruhrallee
ruhrallee,sachsenring
saelzerstrasse,schlossstrasse
schalker strasse,schmachtenbergstrasse
schederhofstrasse,schoelerpad
schoenscheidtstrasse,schoenscheidtstrasse
sommerburgstrasse,schuirweg
stauderstrasse,schwanenbuschstrasse
steeler bergstrasse,theodor hartz strasse
stemmering,ueberruhrstrasse
tommesweg,unterstrasse
toepferstrasse,viehauser berg
ueckendorfer strasse,von ossietzky ring
uhlenstrasse,wattenscheider strasse
vogelheimer strasse,wendelinstrasse
waldlehne,westfalenstrasse
wattenscheider strasse,wilhelmstrasse
wiehagenstrasse,wuestenhoeferstrasse
wildstrasse,zeunerstrasse
winkhausstrasse,zweigstrasse
