County,Votes
Randolph,14032.0
Lincoln,14001.0
Greenbrier,13984.0
Boone,13984.0
Pickens,13982.0
Madison,13956.0
Brown,13949.0
Goochland,13930.0
Okmulgee,13924.0
Coffee,13896.0
Scotts Bluff,13895.0
Cherokee,13860.0
Elk,13854.0
Erath,13810.0
Chambers,13778.0
Bryan,13775.0
Routt,13772.0
Whitley,13769.0
Greene,13763.0
Scotland,13743.0
Pine,13729.0
"Petersburg city, Virginia",13717.0
Polk,13709.0
Benton,13690.0
Henry,13671.0
Brown,13663.0
Cheboygan,13647.0
Okeechobee,13632.0
Atascosa,13605.0
Independence,13598.0
Colquitt,13592.0
Maverick,13588.0
Carroll,13587.0
Van Wert,13584.0
Trempealeau,13581.0
Antrim,13572.0
Warren,13565.0
Woodford,13560.0
Clark,13548.0
Dinwiddie,13533.0
"De Soto Parish, Louisiana",13497.0
Fluvanna,13492.0
Hopkins,13476.0
Val Verde,13476.0
Orange,13464.0
Jefferson,13461.0
Vilas,13453.0
Pulaski,13443.0
Miami,13440.0
Wabash,13415.0
Clare,13385.0
Jasper,13351.0
Bremer,13350.0
Iosco,13349.0
Jasper,13331.0
Dyer,13290.0
Caroline,13282.0
Stoddard,13278.0
Lincoln,13270.0
Tillamook,13261.0
Wythe,13250.0
Jackson,13239.0
Adams,13172.0
Ashe,13160.0
Dickinson,13140.0
Wells,13123.0
Gillespie,13123.0
Marshall,13083.0
Mississippi,13075.0
Plymouth,13057.0
Muhlenberg,13054.0
Lake,13045.0
Adams,13039.0
Roscommon,13036.0
Pike,13025.0
Caledonia,12966.0
Mille Lacs,12948.0
Lake,12939.0
Boyle,12938.0
Clarke,12936.0
Iroquois,12923.0
Marion,12912.0
McDonough,12910.0
Hill,12906.0
Garrett,12905.0
Marion,12902.0
Henry,12887.0
Uintah,12883.0
Bolivar,12831.0
Montgomery,12829.0
Smyth,12825.0
Carroll,12807.0
Tift,12796.0
Ripley,12790.0
Seneca,12727.0
Gilmer,12713.0
Grant,12713.0
"West Baton Rouge Parish, Louisiana",12710.0
Montezuma,12706.0
Brookings,12680.0
Monroe,12675.0
Schoharie,12673.0
Hancock,12642.0
Baker,12634.0
Preston,12611.0
Cass,12609.0
Manistee,12598.0
Gallia,12588.0
Williams,12529.0
Otsego,12529.0
Jones,12524.0
Hocking,12513.0
Campbell,12504.0
Gladwin,12472.0
Union,12465.0
Posey,12448.0
McPherson,12443.0
Currituck,12423.0
Murray,12422.0
Wyoming,12418.0
Jim Wells,12346.0
Lumpkin,12324.0
Logan,12315.0
Austin,12255.0
Meade,12229.0
Obion,12223.0
Adams,12214.0
Meeker,12198.0
Russell,12195.0
Teton,12176.0
Cowley,12171.0
Curry,12163.0
New Kent,12163.0
Ware,12150.0
Logan,12130.0
Lyon,12129.0
"Salem city, Virginia",12129.0
Whitman,12128.0
Weakley,12127.0
Iowa,12123.0
Wasatch,12120.0
Stark,12115.0
Cocke,12108.0
Jackson,12108.0
Bradford,12098.0
Union,12087.0
"St. James Parish, Louisiana",12085.0
Cleburne,12081.0
Union,12039.0
Hardin,12014.0
Knox,12012.0
Fannin,11972.0
King George,11967.0
Waushara,11961.0
Franklin,11955.0
Madison,11945.0
Todd,11944.0
Graham,11939.0
Hot Spring,11909.0
Copiah,11906.0
Oceana,11903.0
Clinton,11896.0
Morgan,11888.0
"Fairfax city, Virginia",11854.0
"Morehouse Parish, Louisiana",11852.0
Martin,11852.0
Lawrence,11842.0
Pontotoc,11811.0
Matagorda,11779.0
White,11771.0
Wabasha,11764.0
Fannin,11764.0
"Pointe Coupee Parish, Louisiana",11761.0
Lyon,11745.0
Juneau,11736.0
Caldwell,11709.0
Dillon,11696.0
Starr,11691.0
Dawson,11680.0
Codington,11669.0
Ellis,11660.0
Geneva,11659.0
Edgefield,11644.0
Lamoille,11641.0
Crook,11638.0
Montgomery,11623.0
Meade,11621.0
Cass,11606.0
Pike,11513.0
Jefferson,11471.0
Douglas,11467.0
Montgomery,11449.0
Montgomery,11444.0
Marion,11443.0
Mendocino,11435.0
Dukes,11434.0
Hubbard,11423.0
Anderson,11420.0
Simpson,11416.0
Miller,11414.0
Mineral,11410.0
Marshall,11402.0
Tate,11389.0
Curry,11383.0
Union,11374.0
Washington,11333.0
Haralson,11317.0
Taylor,11304.0
Clay,11259.0
Fairfield,11252.0
Wasco,11251.0
Saline,11234.0
Winneshiek,11217.0
Jo Daviess,11177.0
"Staunton city, Virginia",11144.0
Washington,11144.0
"Fredericksburg city, Virginia",11135.0
Giles,11120.0
Jennings,11115.0
Hendry,11106.0
Decatur,11095.0
Adams,11063.0
Fayette,11029.0
Chaffee,10999.0
Franklin,10990.0
Orleans,10988.0
Fillmore,10976.0
Sumter,10973.0
Madison,10966.0
Marengo,10948.0
Rhea,10946.0
Churchill,10936.0
Texas,10935.0
Upson,10924.0
Shelby,10912.0
Jersey,10909.0
"Assumption Parish, Louisiana",10904.0
Logan,10899.0
"Union Parish, Louisiana",10894.0
Okanogan,10893.0
Ray,10835.0
Marion,10832.0
Washington,10824.0
Holmes,10823.0
Fayette,10817.0
Randolph,10816.0
Menominee,10765.0
DeSoto,10761.0
Harlan,10757.0
Kewaunee,10742.0
Carroll,10736.0
Daviess,10736.0
Abbeville,10724.0
Blaine,10723.0
Polk,10723.0
Los Alamos,10716.0
McCurtain,10709.0
Claiborne,10706.0
Peach,10699.0
San Miguel,10697.0
Ottawa,10686.0
Rockbridge,10685.0
Pacific,10667.0
Jerome,10667.0
Page,10663.0
Franklin,10658.0
Saunders,10598.0
Osceola,10597.0
San Juan,10589.0
Washington,10584.0
Mercer,10584.0
"Winchester city, Virginia",10574.0
Dunklin,10574.0
"Plaquemines Parish, Louisiana",10572.0
Grayson,10572.0
Perry,10572.0
Dodge,10564.0
Custer,10531.0
Garvin,10531.0
Houston,10515.0
Caswell,10515.0
Cherokee,10503.0
Mahaska,10494.0
Martin,10469.0
Aransas,10467.0
Randolph,10456.0
Grenada,10442.0
Neshoba,10438.0
Carroll,10435.0
Lassen,10422.0
Panola,10413.0
Juniata,10402.0
Ohio,10398.0
Wyandot,10396.0
Anson,10394.0
Barbour,10390.0
Pitkin,10387.0
Ogemaw,10386.0
Hood River,10383.0
Llano,10377.0
Wayne,10376.0
Pottawatomie,10359.0
Marlboro,10353.0
Carroll,10333.0
Lewis,10312.0
Randolph,10309.0
San Jacinto,10305.0
Carter,10274.0
Winston,10255.0
Dickinson,10247.0
Park,10245.0
Decatur,10238.0
Benzie,10221.0
Bandera,10213.0
Jackson,10204.0
Clinton,10197.0
Monroe,10185.0
Palo Pinto,10175.0
Henderson,10172.0
Buchanan,10137.0
Adair,10137.0
Randolph,10130.0
Warren,10123.0
Mason,10115.0
Adams,10107.0
Hertford,10100.0
Langlade,10093.0
Barton,10088.0
Hart,10077.0
Scott,10055.0
Audrain,10043.0
"East Feliciana Parish, Louisiana",10042.0
McNairy,10035.0
Jones,10011.0
Clay,9960.0
Spencer,9959.0
Malheur,9950.0
Hardin,9949.0
Stutsman,9938.0
Ouachita,9929.0
Crawford,9920.0
White,9902.0
Yazoo,9892.0
Prentiss,9871.0
Scott,9867.0
Klickitat,9859.0
Henry,9855.0
Gage,9854.0
George,9831.0
Fayette,9813.0
Yancey,9808.0
"Sabine Parish, Louisiana",9785.0
Sanpete,9778.0
White,9776.0
Northampton,9761.0
Stephens,9760.0
Finney,9731.0
Bell,9718.0
Perry,9706.0
Logan,9702.0
Poweshiek,9693.0
Asotin,9684.0
Itawamba,9634.0
Yankton,9616.0
"Richland Parish, Louisiana",9596.0
Benton,9584.0
Waseca,9579.0
Johnson,9572.0
Leflore,9566.0
Lincoln,9561.0
Grant,9556.0
LaGrange,9552.0
Brooke,9540.0
Wayne,9534.0
Fayette,9530.0
Grimes,9528.0
Fayette,9515.0
Spencer,9513.0
Greene,9503.0
Pickens,9494.0
Sumner,9494.0
Bayfield,9491.0
Kleberg,9483.0
Barnwell,9479.0
Butts,9477.0
Mingo,9469.0
Nodaway,9439.0
Morgan,9435.0
Putnam,9431.0
Taylor,9417.0
Meigs,9410.0
Sunflower,9406.0
Cedar,9386.0
Nicholas,9385.0
Bertie,9380.0
Glenn,9379.0
Del Norte,9361.0
Lee,9353.0
Burke,9350.0
Caddo,9336.0
Green Lake,9315.0
Gunnison,9299.0
Henry,9286.0
Taylor,9279.0
Washington,9279.0
Lincoln,9272.0
McDuffie,9268.0
Saline,9245.0
"Allen Parish, Louisiana",9245.0
Hardeman,9242.0
Starke,9226.0
Buchanan,9220.0
Jackson,9202.0
Grady,9187.0
Aitkin,9185.0
Meriwether,9181.0
Upshur,9180.0
Titus,9176.0
Kent,9166.0
Delaware,9165.0
"Franklin Parish, Louisiana",9162.0
Piscataquis,9144.0
Tippah,9143.0
Andrew,9140.0
Letcher,9134.0
"Waynesboro city, Virginia",9114.0
Prince Edward,9113.0
Toombs,9108.0
Clayton,9098.0
King William,9088.0
Park,9086.0
Johnson,9086.0
Shelby,9072.0
Scott,9060.0
Washburn,9059.0
Yates,8975.0
"Hopewell city, Virginia",8968.0
Uvalde,8936.0
Kalkaska,8920.0
Coahoma,8912.0
Piatt,8899.0
Lincoln,8892.0
Columbia,8887.0
Mariposa,8877.0
Jefferson,8874.0
Southampton,8872.0
"Concordia Parish, Louisiana",8869.0
Rowan,8842.0
Paulding,8842.0
Greene,8831.0
Plumas,8830.0
"Grant Parish, Louisiana",8819.0
Morgan,8815.0
Hale,8802.0
Bourbon,8795.0
Hampton,8794.0
Covington,8790.0
Iowa,8789.0
Winston,8771.0
Breckinridge,8771.0
Somerset,8768.0
Bibb,8748.0
Macon,8748.0
Perry,8732.0
Burnett,8719.0
Howard,8692.0
Butler,8685.0
Lauderdale,8678.0
Pike,8675.0
Boone,8654.0
Tama,8636.0
Lavaca,8633.0
Carroll,8609.0
Milam,8607.0
Montague,8604.0
Newton,8594.0
Nobles,8592.0
Vernon,8576.0
Sullivan,8559.0
Saluda,8559.0
Hampshire,8557.0
Clay,8542.0
Montour,8535.0
Madison,8523.0
Owen,8520.0
Elmore,8519.0
Union,8514.0
Grand,8513.0
Crawford,8507.0
Holmes,8506.0
Clark,8505.0
Kossuth,8505.0
Madison,8503.0
Washington,8492.0
Patrick,8489.0
Dawson,8486.0
Colorado,8480.0
Baker,8479.0
Franklin,8474.0
Jasper,8468.0
Ste. Genevieve,8459.0
Bee,8458.0
Leake,8436.0
"Colonial Heights city, Virginia",8427.0
Hardin,8423.0
Schuyler,8423.0
Washington,8422.0
Gilchrist,8418.0
Mercer,8417.0
Lincoln,8398.0
Cherokee,8386.0
Fulton,8374.0
Tishomingo,8310.0
Sevier,8308.0
Houston,8302.0
Westmoreland,8291.0
Worth,8266.0
Wayne,8256.0
Nelson,8247.0
Chattooga,8246.0
McDonald,8233.0
Adair,8231.0
Idaho,8223.0
Polk,8215.0
Giles,8196.0
Fayette,8196.0
Overton,8195.0
Orange,8189.0
Buena Vista,8179.0
Cassia,8178.0
Northumberland,8176.0
Russell,8174.0
Hughes,8173.0
Jefferson,8151.0
Lampasas,8149.0
Clarke,8131.0
Hutchinson,8126.0
Kanabec,8125.0
Lee,8110.0
Marion,8109.0
Allen,8091.0
Douglas,8089.0
Wright,8086.0
Ashley,8083.0
Avery,8060.0
Uinta,8053.0
Seminole,8032.0
Perry,8025.0
Bates,8021.0
Cibola,8017.0
Henry,8017.0
Greene,8013.0
Hale,8010.0
Dickinson,8008.0
Jefferson,8001.0
Inyo,7996.0
Wayne,7991.0
Floyd,7985.0
Grainger,7985.0
Cooper,7976.0
Floyd,7972.0
Tyler,7969.0
Jay,7962.0
Richland,7962.0
McIntosh,7958.0
Appomattox,7954.0
Davison,7952.0
Gem,7952.0
Rabun,7949.0
Mitchell,7948.0
Ashland,7926.0
Conway,7921.0
Labette,7919.0
Elbert,7912.0
Logan,7909.0
Brown,7908.0
Union,7895.0
Chickasaw,7890.0
Mitchell,7857.0
Emanuel,7838.0
Clark,7819.0
Hancock,7818.0
Carbon,7818.0
Marquette,7813.0
Wyoming,7809.0
Jackson,7806.0
Bosque,7797.0
Edgar,7783.0
Harrison,7780.0
Potter,7777.0
Sawyer,7767.0
Roseau,7767.0
Hickman,7762.0
Seward,7754.0
Sibley,7727.0
Clarke,7713.0
Warren,7700.0
Crawford,7678.0
"Falls Church city, Virginia",7667.0
Young,7658.0
Limestone,7648.0
Brunswick,7645.0
Jefferson,7641.0
Morgan,7635.0
Richland,7630.0
Garrard,7619.0
Freestone,7608.0
Mills,7608.0
Lafayette,7602.0
Hamilton,7589.0
Macon,7579.0
Hardee,7577.0
Lamar,7575.0
Woodward,7573.0
Redwood,7566.0
Renville,7563.0
Price,7560.0
Smith,7556.0
Calhoun,7553.0
"Williamsburg city, Virginia",7534.0
Beckham,7529.0
Simpson,7529.0
Tipton,7510.0
Crisp,7500.0
Macon,7490.0
Fountain,7474.0
De Witt,7469.0
"Jackson Parish, Louisiana",7464.0
Bond,7462.0
Richland,7460.0
Pike,7458.0
Arenac,7457.0
Butler,7457.0
Gasconade,7444.0
Dallas,7440.0
St. Francis,7430.0
Ford,7425.0
Smith,7410.0
Leon,7407.0
Harrison,7378.0
Washington,7376.0
Pike,7375.0
Gray,7360.0
Faribault,7355.0
Carroll,7354.0
New Madrid,7352.0
O'Brien,7348.0
Gogebic,7313.0
Fentress,7311.0
Alleghany,7306.0
Missaukee,7301.0
Pierce,7297.0
Luna,7295.0
Archuleta,7290.0
White,7289.0
Buckingham,7284.0
Hockley,7282.0
Gulf,7279.0
Otoe,7279.0
Choctaw,7268.0
Hart,7263.0
Dakota,7259.0
Grayson,7258.0
Sharp,7246.0
Attala,7242.0
Mason,7216.0
Presque Isle,7215.0
Rush,7214.0
Dixie,7202.0
Unicoi,7166.0
Henry,7145.0
Humphreys,7139.0
Geary,7129.0
Scott,7123.0
Van Buren,7116.0
"Poquoson city, Virginia",7114.0
Chowan,7108.0
Osage,7078.0
Cass,7055.0
Holmes,7045.0
Amelia,7035.0
Amite,7033.0
Hempstead,7031.0
Rusk,7029.0
Robertson,7010.0
"Bienville Parish, Louisiana",7005.0
Appling,7003.0
Dodge,6995.0
Lincoln,6988.0
Page,6968.0
"Bristol city, Virginia",6966.0
Calhoun,6957.0
Harrison,6956.0
Banks,6946.0
Burleson,6945.0
DeKalb,6940.0
Eastland,6935.0
Jefferson,6934.0
Madison,6934.0
Phillips,6932.0
Duchesne,6932.0
Lamar,6931.0
Buffalo,6921.0
Vermillion,6913.0
Grant,6908.0
Alamosa,6897.0
Osage,6894.0
Wadena,6894.0
Lewis,6885.0
Tattnall,6879.0
Minidoka,6870.0
Cross,6863.0
Crawford,6862.0
Allamakee,6837.0
Crawford,6833.0
Madison,6829.0
Haywood,6824.0
DeWitt,6822.0
Moniteau,6808.0
Socorro,6792.0
Pend Oreille,6788.0
Lake,6786.0
Dent,6778.0
Marion,6778.0
Beadle,6772.0
Pamlico,6772.0
Grundy,6766.0
Clay,6765.0
Franklin,6764.0
Trigg,6745.0
Fulton,6743.0
Towns,6726.0
Nottoway,6717.0
Las Animas,6693.0
Rockcastle,6688.0
Monroe,6686.0
Lowndes,6676.0
Pennington,6671.0
Douglas,6664.0
Morgan,6664.0
Oglethorpe,6650.0
Massac,6633.0
Lancaster,6599.0
Perquimans,6595.0
Colusa,6594.0
Drew,6590.0
Parke,6576.0
Clay,6572.0
"La Salle Parish, Louisiana",6568.0
Berrien,6563.0
Jefferson,6559.0
Johnson,6556.0
Converse,6552.0
Conecuh,6543.0
Cleburne,6532.0
Lee,6522.0
Polk,6520.0
Moffat,6510.0
Taylor,6498.0
Lake,6472.0
Adair,6468.0
Casey,6439.0
Mason,6433.0
Humboldt,6433.0
Yell,6423.0
Menard,6423.0
"Claiborne Parish, Louisiana",6421.0
Livingston,6408.0
Dickenson,6405.0
Nantucket,6404.0
Atchison,6393.0
Sumter,6391.0
Randolph,6378.0
Hill,6368.0
Stone,6368.0
"Winn Parish, Louisiana",6368.0
Larue,6367.0
Chickasaw,6367.0
Pawnee,6346.0
Calhoun,6339.0
Lyon,6336.0
Lawrence,6329.0
Benton,6322.0
Koochiching,6313.0
Gonzales,6304.0
Pope,6294.0
Morgan,6290.0
Ford,6289.0
Torrance,6286.0
Brantley,6285.0
Cedar,6278.0
Clay,6278.0
Shelby,6270.0
Brooks,6268.0
Fleming,6257.0
York,6256.0
Crenshaw,6252.0
Dade,6238.0
Jefferson Davis,6237.0
Union,6211.0
Arkansas,6211.0
Moultrie,6209.0
Union,6204.0
Carbon,6200.0
Bamberg,6195.0
Wetzel,6191.0
Cherokee,6186.0
Chippewa,6182.0
McDowell,6179.0
Alcona,6179.0
Neosho,6151.0
Northampton,6134.0
Kingfisher,6123.0
Washington,6115.0
Appanoose,6096.0
Wilcox,6095.0
Mackinac,6088.0
Calhoun,6067.0
Yalobusha,6058.0
Lawrence,6042.0
Lawrence,6039.0
Cook,6038.0
"Radford city, Virginia",6032.0
Pemiscot,6025.0
Barbour,6024.0
Hardy,6022.0
Johnson,6017.0
Jasper,6016.0
Pendleton,6007.0
Franklin,6003.0
Clay,5998.0
Middlesex,5994.0
Trinity,5982.0
Swain,5982.0
Pike,5977.0
Caldwell,5975.0
"St. Helena Parish, Louisiana",5964.0
Wright,5949.0
Carbon,5936.0
Jones,5932.0
Barton,5932.0
Ben Hill,5923.0
Bourbon,5918.0
Roosevelt,5912.0
Iron,5910.0
Walthall,5909.0
Marshall,5903.0
McIntosh,5893.0
Clay,5885.0
Sanders,5884.0
Noble,5875.0
"Martinsville city, Virginia",5873.0
Tallahatchie,5870.0
Wayne,5842.0
Hancock,5815.0
Webster,5805.0
"West Feliciana Parish, Louisiana",5798.0
Fergus,5797.0
Charlotte,5792.0
Newton,5791.0
Craig,5778.0
McCreary,5776.0
Texas,5771.0
Union,5768.0
Knott,5763.0
Wayne,5738.0
Breathitt,5735.0
Jackson,5727.0
Winnebago,5717.0
Fremont,5714.0
Goshen,5708.0
Payette,5703.0
Screven,5699.0
Cottonwood,5697.0
Union,5693.0
Lincoln,5692.0
Lawrence,5685.0
Monroe,5670.0
Bollinger,5669.0
Blanco,5669.0
Sequatchie,5667.0
Guthrie,5654.0
Washington,5630.0
Skamania,5587.0
Lunenburg,5577.0
Butler,5576.0
Linn,5572.0
Stone,5568.0
Callahan,5556.0
Estill,5545.0
Greene,5542.0
Noxubee,5538.0
Clear Creek,5532.0
Murray,5525.0
Ripley,5518.0
Cumberland,5513.0
Jackson,5500.0
Franklin,5499.0
Custer,5489.0
Rio Grande,5488.0
Marshall,5487.0
Carroll,5470.0
Marion,5465.0
Jackson,5453.0
Hamilton,5451.0
Izard,5445.0
Pulaski,5437.0
Perry,5432.0
Montgomery,5424.0
Choctaw,5419.0
Wabash,5402.0
Vinton,5393.0
Crockett,5386.0
San Juan,5385.0
Mitchell,5360.0
Essex,5354.0
Stevens,5350.0
Valley,5349.0
Green,5333.0
Poinsett,5332.0
Lake,5328.0
Gates,5328.0
Greene,5325.0
Madison,5318.0
Allen,5314.0
Colfax,5302.0
Cannon,5299.0
Lewis,5298.0
Mathews,5292.0
Stewart,5283.0
Little River,5277.0
Jackson,5275.0
Ralls,5266.0
Moore,5262.0
Scurry,5261.0
Perry,5255.0
Yellow Medicine,5253.0
Barnes,5253.0
Edmonson,5241.0
Millard,5234.0
Roane,5234.0
Falls,5232.0
Coosa,5223.0
Ramsey,5218.0
McCormick,5215.0
"Manassas Park city, Virginia",5214.0
Alleghany,5214.0
Comanche,5208.0
McLean,5206.0
Gooding,5191.0
Mississippi,5165.0
Custer,5160.0
Sac,5158.0
Crawford,5157.0
Mono,5154.0
Jackson,5151.0
Boundary,5150.0
Sierra,5149.0
Red River,5147.0
Morgan,5136.0
Shoshone,5120.0
Magoffin,5116.0
Calhoun,5105.0
Jasper,5104.0
Jeff Davis,5089.0
Willacy,5082.0
Big Horn,5079.0
Clay,5069.0
Braxton,5063.0
Red Willow,5061.0
Cass,5054.0
Jones,5039.0
Otero,5038.0
Sussex,5036.0
Humboldt,5033.0
Nemaha,5025.0
Webster,5024.0
Clay,5011.0
Montmorency,5008.0
Atoka,5002.0
Owen,4999.0
Montgomery,4998.0
Glacier,4991.0
Monroe,4991.0
Holt,4979.0
Prowers,4978.0
Watonwan,4971.0
Swift,4968.0
Teton,4966.0
Morris,4964.0
Powell,4957.0
Grant,4945.0
Louisa,4943.0
Camden,4939.0
Bleckley,4934.0
La Paz,4931.0
Andrews,4926.0
Franklin,4915.0
Hamilton,4902.0
Cumberland,4875.0
Noble,4870.0
Greene,4862.0
Keokuk,4858.0
"Catahoula Parish, Louisiana",4856.0
Howard,4851.0
Chester,4850.0
Summers,4847.0
Stillwater,4827.0
Blackford,4822.0
Richland,4818.0
Martin,4807.0
Rock,4807.0
Saline,4795.0
Marshall,4794.0
Early,4782.0
Pipestone,4779.0
Todd,4774.0
Fulton,4771.0
Morgan,4770.0
Greene,4762.0
Box Butte,4761.0
"West Carroll Parish, Louisiana",4759.0
Grundy,4750.0
Nolan,4744.0
Seward,4743.0
Haskell,4734.0
"Madison Parish, Louisiana",4732.0
Madison,4720.0
Hickory,4717.0
Custer,4716.0
Trinity,4716.0
Emmet,4707.0
Bullock,4701.0
Beaverhead,4694.0
"Caldwell Parish, Louisiana",4692.0
Palo Alto,4674.0
Howard,4671.0
Yuma,4664.0
Oregon,4664.0
Bledsoe,4650.0
Livingston,4643.0
Murray,4642.0
Sabine,4642.0
Kemper,4639.0
St. Clair,4630.0
Rains,4630.0
Washita,4628.0
Metcalfe,4619.0
Phelps,4609.0
Gaines,4609.0
Lewis,4601.0
McKenzie,4594.0
Crawford,4591.0
DeKalb,4590.0
Bath,4583.0
Marshall,4578.0
Decatur,4577.0
Sevier,4570.0
Cheyenne,4569.0
McLean,4566.0
Mercer,4564.0
Walsh,4543.0
Camp,4542.0
Hughes,4525.0
Monona,4525.0
Alger,4513.0
Howard,4507.0
Forest,4507.0
Ozark,4501.0
Maries,4498.0
Leslie,4492.0
Pushmataha,4483.0
Wilkes,4470.0
Platte,4460.0
Clinton,4458.0
Grand,4456.0
Washington,4454.0
Lewis,4452.0
Jackson,4447.0
Rappahannock,4444.0
"Red River Parish, Louisiana",4422.0
Grundy,4413.0
Clarke,4405.0
Greensville,4363.0
Carroll,4361.0
Cedar,4360.0
Franklin,4356.0
Glades,4355.0
Johnson,4349.0
Butte,4346.0
San Miguel,4311.0
Meigs,4311.0
Caldwell,4309.0
Dawson,4304.0
Lucas,4297.0
Sublette,4297.0
Hancock,4293.0
Macon,4287.0
Madison,4283.0
Linn,4279.0
Wilkinson,4276.0
Archer,4269.0
Live Oak,4267.0
Emery,4263.0
Perry,4262.0
Iron,4260.0
Desha,4252.0
Nowata,4237.0
Brewster,4226.0
Clearwater,4225.0
Franklin,4219.0
Worth,4216.0
Marion,4206.0
Heard,4206.0
Deaf Smith,4201.0
Benewah,4192.0
Karnes,4185.0
Terrell,4179.0
Wallowa,4177.0
Chicot,4176.0
Wilkinson,4174.0
Grant,4171.0
Big Horn,4168.0
Pecos,4167.0
Montgomery,4162.0
Duval,4159.0
Schoolcraft,4151.0
Turner,4150.0
Monroe,4147.0
Hamilton,4143.0
Deer Lodge,4122.0
Long,4109.0
Wilbarger,4101.0
Ballard,4101.0
Lincoln,4100.0
Graham,4094.0
Adams,4081.0
Juab,4076.0
Lemhi,4068.0
Oscoda,4062.0
Knox,4061.0
Twiggs,4053.0
Latimer,4050.0
Ritchie,4040.0
"Franklin city, Virginia",4040.0
Crittenden,4037.0
Choctaw,4020.0
Bacon,4010.0
Newton,4010.0
Mountrail,4009.0
Charlton,4008.0
Johnston,4001.0
Benton,3996.0
Morrow,3989.0
Cuming,3988.0
Pike,3980.0
Surry,3976.0
Conejos,3970.0
Coffey,3962.0
Chariton,3962.0
Lyon,3961.0
Brown,3960.0
Martin,3953.0
Dade,3951.0
Keith,3945.0
Okfuskee,3933.0
Owyhee,3920.0
Warren,3919.0
Butler,3914.0
Lamb,3905.0
Shannon,3904.0
Roberts,3886.0
Somervell,3876.0
Valley,3874.0
Traill,3864.0
Jefferson,3859.0
Davis,3858.0
Carroll,3855.0
Harney,3850.0
Monroe,3844.0
Dooly,3836.0
Lac qui Parle,3835.0
Pocahontas,3831.0
Cloud,3831.0
Lincoln,3826.0
Lake,3814.0
Boise,3812.0
Pratt,3806.0
Clearwater,3801.0
Telfair,3794.0
Blaine,3793.0
Schuyler,3792.0
Trimble,3788.0
Love,3787.0
Grand Isle,3778.0
White Pine,3773.0
Huerfano,3772.0
Crook,3771.0
Runnels,3765.0
Adair,3759.0
Candler,3757.0
Newton,3753.0
Pepin,3746.0
Charles City,3745.0
Wayne,3740.0
Searcy,3728.0
Clay,3727.0
Washakie,3715.0
Goliad,3713.0
Merrick,3707.0
Decatur,3703.0
"Cameron Parish, Louisiana",3692.0
Daviess,3689.0
Harrison,3682.0
Johnson,3682.0
Richardson,3666.0
Woods,3665.0
Rolette,3662.0
Irwin,3659.0
Benton,3654.0
Bradley,3652.0
Richmond,3651.0
Switzerland,3639.0
Coleman,3635.0
Tyler,3621.0
Pocahontas,3619.0
King and Queen,3615.0
Kit Carson,3613.0
Hamilton,3609.0
Evans,3602.0
Humphreys,3599.0
Pulaski,3598.0
Ida,3590.0
Pierce,3580.0
Allendale,3578.0
Dawes,3578.0
Seminole,3577.0
Gilpin,3574.0
Hancock,3572.0
Quay,3567.0
Rice,3567.0
San Augustine,3563.0
Fall River,3563.0
Dawson,3562.0
Grant,3562.0
Montgomery,3560.0
Ferry,3560.0
Fremont,3554.0
Bracken,3527.0
Van Buren,3526.0
Burt,3523.0
Roosevelt,3502.0
Kiowa,3489.0
Baraga,3486.0
Thomas,3483.0
Kane,3482.0
Wilson,3482.0
Henderson,3480.0
Iron,3477.0
Montgomery,3471.0
Tucker,3464.0
Tunica,3463.0
Grant,3453.0
Stephens,3453.0
Prairie,3440.0
Bottineau,3437.0
Rio Blanco,3436.0
Charles Mix,3433.0
Jefferson,3430.0
Ontonagon,3420.0
Ward,3413.0
Taylor,3402.0
Major,3399.0
Turner,3390.0
Zavala,3390.0
Audubon,3379.0
Lafayette,3375.0
Rosebud,3372.0
Doniphan,3366.0
Hutchinson,3365.0
Cook,3360.0
Modoc,3359.0
Quitman,3353.0
Cleveland,3352.0
Wabaunsee,3340.0
Jack,3339.0
Gallatin,3337.0
Weston,3334.0
Clark,3316.0
Edwards,3312.0
Liberty,3295.0
Ouray,3287.0
Union,3286.0
Kingman,3281.0
Wilkin,3279.0
Anderson,3277.0
Shelby,3252.0
Greenlee,3243.0
Talbot,3243.0
Nevada,3243.0
Kearney,3242.0
Norman,3232.0
Dimmit,3225.0
Antelope,3220.0
Pendleton,3212.0
Osceola,3197.0
Reeves,3184.0
Marion,3183.0
Lake,3175.0
Colfax,3172.0
Sullivan,3168.0
Houston,3165.0
Teton,3155.0
Russell,3148.0
Trousdale,3142.0
Zapata,3134.0
Pleasants,3130.0
Bland,3124.0
Broadwater,3102.0
Pembina,3093.0
McCulloch,3086.0
Cherry,3082.0
Putnam,3076.0
Cumberland,3066.0
Custer,3064.0
Scott,3038.0
Caribou,3035.0
Nemaha,3035.0
Jenkins,3034.0
Gentry,3033.0
Reynolds,3032.0
Lee,3020.0
Taylor,3003.0
Lincoln,3002.0
Ochiltree,2981.0
Bon Homme,2974.0
Clay,2973.0
Wilcox,2973.0
Clay,2958.0
Howard,2958.0
Webster,2955.0
Claiborne,2954.0
Spink,2951.0
Refugio,2945.0
Carson,2945.0
"East Carroll Parish, Louisiana",2939.0
Moody,2930.0
Bear Lake,2928.0
Moore,2926.0
Wayne,2921.0
Clay,2919.0
Ohio,2917.0
Randolph,2895.0
Fillmore,2879.0
Boone,2867.0
