County,Votes
Saginaw,94198.0
Baldwin,94090.0
Trumbull,94073.0
Bell,93999.0
Hernando,93878.0
Pinal,93805.0
Racine,93678.0
Outagamie,93474.0
Yavapai,92780.0
Butler,92027.0
Cameron,91804.0
Hinds,91536.0
Cabarrus,91002.0
Deschutes,90584.0
Medina,89360.0
Clayton,89236.0
El Dorado,89228.0
Champaign,89196.0
Middlesex,88402.0
Butte,87847.0
Santa Rosa,87432.0
Jefferson,87363.0
Bay,87151.0
Niagara,86000.0
Winnebago,85892.0
Martin,85741.0
Carroll,84879.0
Scott,84878.0
Johnston,84553.0
Oneida,83876.0
"Calcasieu Parish, Louisiana",83773.0
Boone,83312.0
Smith,83161.0
Hampshire,82329.0
Merrimack,82041.0
Tuscaloosa,81708.0
Weber,81451.0
Iredell,80727.0
Anderson,80296.0
Penobscot,80228.0
Indian River,79897.0
Orange,79830.0
Kent,79822.0
Greene,79633.0
Citrus,79590.0
Washington,79543.0
Licking,79399.0
Olmsted,79277.0
Beaver,79036.0
McLean,78995.0
Stearns,78985.0
Berkeley,78919.0
Cass,78807.0
Pitt,78264.0
Minnehaha,78263.0
McLennan,78255.0
St. Clair,77994.0
Sarpy,77781.0
Broome,77657.0
Peoria,77465.0
Chittenden,77263.0
Ulster,77134.0
Muskegon,77114.0
Tolland,77069.0
Benton,76907.0
Sumter,76649.0
Porter,76492.0
Washington,76246.0
Kenosha,75825.0
Johnson,75637.0
Centre,75394.0
Hendricks,75258.0
"Norfolk city, Virginia",75172.0
Rock,75043.0
Kanawha,74996.0
Richmond,74952.0
Mesa,74876.0
Aiken,74773.0
Scott,74390.0
"Alexandria city, Virginia",74384.0
Kent,74253.0
Mohave,74189.0
Monroe,74101.0
Portage,73968.0
Sussex,73860.0
Shawnee,73648.0
Beaufort,72770.0
Shasta,72554.0
Charles,72480.0
Yakima,72306.0
Davidson,72013.0
Canyon,72007.0
Vanderburgh,71957.0
Kenton,71947.0
Berrien,71882.0
Hays,71524.0
Sumner,71080.0
Catawba,71065.0
Hunterdon,70582.0
Fairfield,70542.0
Santa Fe,70376.0
Hall,70133.0
Doqa Ana,69875.0
Jackson,69567.0
Franklin,69345.0
Alamance,69264.0
Wright,69154.0
Marathon,68849.0
"Newport News city, Virginia",68432.0
Muscogee,68320.0
"Ouachita Parish, Louisiana",67987.0
Strafford,67984.0
Brunswick,67255.0
Kootenai,66286.0
Johnson,66229.0
Brazos,66036.0
Kennebec,65999.0
Rensselaer,65991.0
Monroe,65944.0
Stafford,65350.0
Elkhart,65187.0
Yellowstone,64903.0
Hawaii,64865.0
Paulding,64601.0
Berkshire,64507.0
Washington,64248.0
Columbia,64190.0
DeSoto,64022.0
Randolph,63615.0
Tazewell,63347.0
Black Hawk,63221.0
Rowan,63078.0
Ellis,63064.0
Rock Island,62971.0
La Crosse,62785.0
Schuylkill,62750.0
Dorchester,62463.0
Hanover,62313.0
Wood,62287.0
Spotsylvania,62083.0
Harrison,62076.0
Tippecanoe,61916.0
Schenectady,61629.0
Comal,61567.0
"Hampton city, Virginia",61489.0
Rankin,61356.0
Coweta,61315.0
Sandoval,61146.0
Washington,60731.0
Fayette,60387.0
Cambria,60167.0
Pueblo,60112.0
Sullivan,59860.0
Clark,59620.0
Houston,59559.0
Lebanon,58906.0
Calhoun,58786.0
Bibb,58327.0
Sheboygan,58290.0
Florence,57770.0
"Livingston Parish, Louisiana",57700.0
Lee,57668.0
Monroe,57623.0
Boone,57570.0
Washington,57494.0
Missoula,57433.0
Flagler,57413.0
Douglas,57365.0
Montgomery,57278.0
Johnson,57270.0
Guadalupe,57220.0
Webb,56867.0
"Rapides Parish, Louisiana",56838.0
Henderson,56810.0
Parker,56413.0
Wilson,56286.0
Albemarle,56134.0
Eaton,55686.0
Onslow,55364.0
Androscoggin,55340.0
Canadian,55250.0
Allegan,55153.0
Carver,55102.0
Skagit,54831.0
Linn,54724.0
"Ascension Parish, Louisiana",54663.0
Eau Claire,54080.0
Randall,53813.0
Richland,53739.0
