name,visit
Shaka,29300
Alessandro Volta,29295
Gabriel Byrne,29286
Francisco Vásquez de Coronado,29282
Robert Zemeckis,29276
Henrik Larsson,29276
Dimitar Berbatov,29264
Maurice Ravel,29260
Kathryn Bigelow,29258
James D. Watson,29245
Ovid,29238
Clint Dempsey,29214
Giacomo Puccini,29211
Wallace Shawn,29197
Akira Toriyama,29181
Maria Theresa of Austria,29123
Mark Hoppus,29119
Teresa of Ávila,29114
Jim Broadbent,29022
Khufu,29003
Antonio Salieri,29001
Les Paul,29000
Matthew Fox,28984
Petula Clark,28983
Petr Čech,28928
Daniel Defoe,28918
Rafael van der Vaart,28918
Filippo Inzaghi,28908
Zoroaster,28902
Laura Pausini,28876
Maimonides,28873
Dennis Ritchie,28870
Charles Martel,28855
Bakari Sagna,28830
George Peppard,28826
A. A. Milne,28818
Pieter Brueghel the Elder,28799
Bryan Singer,28791
Heraclitus,28757
Cardinal Richelieu,28716
Roy Hodgson,28692
William Penn,28650
Tom Wilkinson,28645
Ferenc Puskás,28628
Stieg Larsson,28624
Jimmy Connors,28621
El Cid,28613
James Cagney,28610
Carles Puyol,28583
Richard Strauss,28545
Frank Oz,28537
Dan Quayle,28529
Sergei Prokofiev,28522
Grace Hopper,28520
Thucydides,28495
Manuel Pellegrini,28491
Isabelle Adjani,28485
Park Geun-hye,28477
Bryan Ferry,28462
Ilona Staller,28459
Walter Scott,28458
Denis Diderot,28439
Jerome,28423
Jon Lovitz,28398
Jim Belushi,28393
Raymond Kurzweil,28382
Alice Walker,28352
Manuel Neuer,28295
Stefanie Graf,28282
Imhotep,28279
Danica Patrick,28227
Paul Robeson,28221
Arnold Schoenberg,28217
Manuel Noriega,28216
William Gallas,28209
Molière,28200
Ritchie Blackmore,28176
Saul the King,28171
Bonnie Hunt,28171
Tom Berenger,28136
Nancy Cartwright,28120
Gilbert Gottfried,28102
John Edwards,28079
Mobutu Sese Seko,28044
Yanni,28016
Sterling Knight,28013
Isoroku Yamamoto,27973
Mary Pickford,27966
Glenn Miller,27929
Ellen Barkin,27926
Henry Moore,27900
Rudolf Höss,27898
Jeff Gordon,27882
Eugène Delacroix,27874
Robert Kiyosaki,27870
Linda Evangelista,27869
Laura Branigan,27844
Guy de Maupassant,27807
Humayun,27807
Victor Garber,27771
The Edge,27766
Richie Sambora,27758
Amedeo Modigliani,27741
Susan Sontag,27729
Masashi Kishimoto,27721
Louisa May Alcott,27718
Donald Pleasence,27703
Leonardo Fibonacci,27700
Galen,27696
Irving Berlin,27645
Josephus,27610
Rudolph Valentino,27593
Antoine de Saint-Exupéry,27581
Kim Yoon-jin,27575
Hildegard of Bingen,27561
John B. Watson,27558
Zayed bin Sultan Al Nahayan,27548
Edward Said,27527
Dian Fossey,27527
Herbert Spencer,27492
Rupert Everett,27467
Alfred Adler,27452
Pedro Almodóvar,27437
Carlos the jackal,27399
Hokusai,27394
Marcus Licinius Crassus,27383
Margaret Tudor,27365
Utada Hikaru,27355
Clarence Seedorf,27352
Michelle Bachelet,27330
Catherine of Alexandria,27328
Arthur Rimbaud,27316
Yeardley Smith,27289
Antonio Gramsci,27271
Sean Kingston,27248
Jürgen Klinsmann,27214
Keith Haring,27213
Euripides,27189
Tim Cahill,27183
Craig David,27179
Charles Aznavour,27173
Titus,27127
Tyson Chandler,27122
Gary Neville,27118
Alexander Pope,27080
Paul Stanley,27077
Khaled Hosseini,27070
Aleksandr Solzhenitsyn,27068
Rufus Wainwright,27055
Fernando Botero,27053
Enrico Fermi,27051
Robert Boyle,27039
Canute the Great,27020
Andrei Tarkovsky,27018
James Mason,27008
Kim Wilde,27007
Sukarno,26988
Levon Aronian,26985
Filippo Brunelleschi,26984
Robert Capa,26959
David Trézéguet,26915
Melchizedek,26912
P. G. Wodehouse,26908
Robert Sean Leonard,26898
Deborah Kerr,26889
Dave Gahan,26887
Bob Hoskins,26866
Peter Fonda,26825
Oscar Robertson,26822
Charlotte Rampling,26819
Laetitia Casta,26774
Gina Lollobrigida,26740
Dorothea Lange,26729
John Singer Sargent,26711
Kevin Mitnick,26705
Danny Welbeck,26697
Richard Dean Anderson,26682
Till Lindemann,26666
Erik Satie,26657
Pio of Pietrelcina,26645
Mathieu Valbuena,26607
Christian Eriksen,26590
Dionne Warwick,26498
John the Apostle,26494
Skandar Keynes,26488
Zara Phillips,26470
Roland Barthes,26461
Omar Epps,26426
Luol Deng,26413
Franz Joseph I of Austria,26377
Jürgen Habermas,26376
Bret Easton Ellis,26375
Princess Beatrice of York,26354
Roberto Baggio,26339
Edward the Confessor,26335
Patrice Lumumba,26326
Georges Méliès,26307
Pixie Lott,26272
Bernadette Soubirous,26267
Eadweard Muybridge,26260
Jim Jarmusch,26232
Maite Perroni,26209
PJ Harvey,26188
Tarja Turunen,26186
Matt Sydal,26174
Kolo Touré,26167
Sappho,26164
Mike Portnoy,26161
Auguste Comte,26160
Gustave Courbet,26156
Lars Bender,26145
Nick Mason,26121
Bill Evans,26121
Jared Diamond,26117
Mary Lynn Rajskub,26116
Mike Oldfield,26095
Gene Roddenberry,26075
Gioacchino Rossini,26061
Philip II of Macedon,26059
Maria Montessori,26045
Alfred Kinsey,25982
Pete Best,25963
Georges Braque,25953
Gus Grissom,25945
Thérèse de Lisieux,25944
Caspar David Friedrich,25937
Bojan Krkić,25935
Nora Ephron,25928
Albert Schweitzer,25915
Luis Antonio Valencia,25895
Noël Coward,25865
Susan Hayward,25864
Sidney Sheldon,25850
apl.de.ap,25817
Hal Holbrook,25797
Connie Francis,25784
Giovani dos Santos,25782
Bobby Jindal,25724
William Harvey,25714
Fabio Cannavaro,25704
Margaret Mead,25671
Ruud Gullit,25668
Enrique Peña Nieto,25657
Phil Lynott,25645
Otto Dix,25592
Madeleine Albright,25586
Alexandre Song,25565
John Logie Baird,25549
Niccolò Paganini,25544
Thomas Mann,25536
Leighton Baines,25530
Ricardo Quaresma,25519
Joseph E. Stiglitz,25512
John Ruskin,25511
Ben Wallace,25508
Kazimir Malevich,25445
L. Frank Baum,25441
Marco van Basten,25439
Francis Crick,25434
Clement Attlee,25407
Aaron,25337
Rudolf Steiner,25336
Luis Buñuel,25316
Raphaël Varane,25313
Bahadur Shah II,25300
Thomas the Apostle,25293
Marcelo Salas,25291
Giotto di Bondone,25285
Raul Meireles,25236
Tadeusz Mazowiecki,25228
Stephen Jay Gould,25177
Empress Elisabeth of Austria,25151
Joey Jordison,25142
Michael E. Porter,25135
Paul Gascoigne,25087
Asamoah Gyan,25080
Honoré de Balzac,25077
Briana Banks,25042
Dizzy Gillespie,25024
Andrew Carroll,25024
Ed Asner,24991
Yash Chopra,24975
"Ed Wood, Jr.",24973
Jane Krakowski,24966
Harold Wilson,24963
Viktor Frankl,24951
Aaron Spelling,24942
Hank Aaron,24941
Al-Ghazzali,24896
Horace,24886
Vangelis,24879
Daniella Monet,24869
Daniel Alves,24860
Adriano Leite Ribeiro,24845
Shinzō Abe,24823
Jason Newsted,24816
William H. Seward,24812
Nadia Comaneci,24809
Fats Domino,24802
Carl XVI Gustaf of Sweden,24782
Paul Ryan,24771
Debra Winger,24735
Robert Trujillo,24733
Vo Nguyen Giap,24675
Carmen Miranda,24667
Toyotomi Hideyoshi,24659
Juan Perón,24647
Geraldine Chaplin,24642
Ted Hughes,24621
Emilia Fox,24618
Salome,24606
Anastacia,24599
Albert Hofmann,24585
Natasha Bedingfield,24584
Aesop,24574
Mohamed Farah,24557
Tokugawa Ieyasu,24546
Saint Sebastian,24522
Michelle Branch,24495
Fatima bint Muhammad,24489
Gervais Yao Kouassi,24484
Sid Meier,24471
Camille Pissarro,24457
Gus Van Sant,24447
Beatrix Potter,24432
Ibn Khaldun,24430
Terence Tao,24417
Oliver Kahn,24408
Jean Dujardin,24402
Saki,24398
Sienna Guillory,24392
Mats Hummels,24382
Rufus Sewell,24370
Emmeline Pankhurst,24366
Guan Yu,24335
Leni Riefenstahl,24318
Peter Tosh,24308
Robert Browning,24282
Norman Borlaug,24280
Henry Miller,24269
Patricia Neal,24245
W. Somerset Maugham,24231
Robert Fulton,24228
Jerry West,24226
Eva Marie Saint,24220
Jan van Eyck,24215
Chauncey Billups,24211
David Caruso,24186
Betty Ford,24185
Edwin van der Sar,24173
Alain Prost,24169
Peter Ustinov,24152
Craig Bellamy,24136
Stanislas Wawrinka,24127
Louis XIII of France,24111
Henri Fayol,24098
Steven Pinker,24079
Rosie O'Donnell,24072
Vespasian,24071
Moctezuma II,24067
Danielle Steel,24057
Robert Owen,24054
Shane Long,24046
Josip Šimunić,24041
Michael Laudrup,23989
Jacques-Louis David,23975
Mike Epps,23959
Basshunter,23956
Omar Bradley,23947
Rasheed Wallace,23943
Umberto Eco,23934
Jean Simmons,23872
Margrethe II of Denmark,23872
Ramakrishna,23834
Patrick Vieira,23822
Matthew Perry,23812
Wes Craven,23792
Selim II,23776
Peter Higgs,23736
Yohan Cabaye,23723
Khan Abdul Ghaffar Khan,23718
Paracelsus,23717
Romário,23696
Gough Whitlam,23657
Jean-Paul Marat,23639
Raúl Castro,23636
Mikhail Kalashnikov,23632
Arthur Ashe,23628
Jessica Tandy,23627
Pearl S. Buck,23626
Jérôme Boateng,23622
Roger Meddows Taylor,23620
Lara Fabian,23603
Ashley Young,23600
Henry Ian Cusick,23594
Catherine of Siena,23586
Anderson Luís de Abreu Oliveira,23586
Joe Pantoliano,23583
Manuel L. Quezon,23583
Alberto Giacometti,23573
Thomas Cardinal Wolsey,23568
Hernán Crespo,23541
Maurice Sendak,23532
Muawiyah I,23528
Tulsidas,23520
Rick Perry,23518
Thomas Vermaelen,23511
Alexandra of Denmark,23507
Scipio Africanus,23505
Pope Pius XII,23501
Ryan Lochte,23495
Ramires,23492
Paul Dirac,23476
Tom Cleverley,23454
Ursula K. Le Guin,23438
Roman Weidenfeller,23433
Nick Clegg,23409
Cyrano de Bergerac,23388
John Ford,23373
Clive Barker,23372
Nemanja Matić,23369
Alex Salmond,23357
Gaius Marius,23355
James Fenimore Cooper,23330
Marcelo Vieira,23327
George Kennedy,23322
Jeremy Brett,23308
Béla Bartók,23300
Felicity Huffman,23296
Julie Kavner,23292
Walter Mondale,23285
Ben Jonson,23284
Rachel,23270
John Jay,23266
Víctor Valdés,23258
Christian Dior,23248
Toni Kroos,23248
Gabrielle Giffords,23236
Alexander III of Russia,23227
Jordan Henderson,23216
Daron Malakian,23204
Billie Jean King,23153
Omar Khayyám,23153
Andy Richter,23150
Walter Benjamin,23145
Ayumi Hamasaki,23133
Jay Mohr,23102
Bede,23083
Xerxes I of Persia,23074
Martin of Tours,23072
Robert Rauschenberg,23058
Chow Yun-Fat,23047
Mikhail Prokhorov,23029
Stevan Jovetić,23028
Themistocles,23007
John Barrymore,22997
Evelyn Waugh,22967
Ernst Röhm,22944
Elia Kazan,22934
Eliot Spitzer,22924
David Ricardo,22922
King Ludwig II of Bavaria,22920
Steve Biko,22905
Daryl Sabara,22885
Pratibha Patil,22883
Georgy Zhukov,22872
François Mitterrand,22827
Fraizer Campbell,22809
John Updike,22801
Ken Kesey,22788
José Manuel Reina Páez,22765
David Silva,22758
Gerry Adams,22752
John Wycliffe,22708
Edgar Rice Burroughs,22662
Bessie Smith,22642
Pier Paolo Pasolini,22640
Sydney Pollack,22626
Richard Chamberlain,22624
Joseph Schumpeter,22624
Henry Morton Stanley,22620
Pat Nixon,22612
Robert Knepper,22608
Elizabeth Barrett Browning,22602
Gabriel Batistuta,22575
Fábio Coentrão,22572
Oscar Peterson,22568
Rogério Ceni,22568
Demosthenes,22562
Nicky Hilton,22539
Gael García Bernal,22524
Mike Nichols,22495
Michel de Montaigne,22492
Kālidāsa,22480
Curtis Mayfield,22477
David Ben-Gurion,22461
Eduard Khil,22457
Jean Baudrillard,22427
Zbigniew Brzezinski,22410
Solon,22402
Edward V of England,22400
John Entwistle,22394
Jaco Pastorius,22386
Brian Clough,22379
Robbie Fowler,22377
Sokratis Papastathopoulos,22364
Yasuo Fukuda,22342
Tenzing Norgay,22340
Xherdan Shaqiri,22335
Gerd Müller,22332
Roald Amundsen,22323
Don McLean,22318
Sergio Leone,22298
Martin Landau,22297
Constantin Stanislavski,22289
Monica Seles,22244
Julie Walters,22235
Alexander Calder,22219
Faisal of Saudi Arabia,22201
Charles II of Spain,22187
Pedro Rodríguez Ledesma,22177
Jerry Bruckheimer,22162
Gerry Rafferty,22161
Eric Burdon,22156
Edgar Cayce,22143
Franka Potente,22139
Óscar Romero,22138
Michael Essien,22131
Hattie McDaniel,22114
Daniel Dae Kim,22107
Sam J. Jones,22082
Elagabalus,22071
Djibril Cissé,22070
Paulette Goddard,22068
Scatman John,22056
Vincent Kompany,22055
Gennaro Gattuso,22050
Adlai Stevenson II,22044
William Gibson,22016
Willem de Kooning,22008
Giorgio Armani,22003
E. M. Forster,21977
Henri Rousseau,21966
Emperor Meiji,21936
Carlos Castaneda,21931
Joséphine de Beauharnais,21924
George Santayana,21924
James Chadwick,21911
George Marshall,21911
Ryan O'Neal,21908
Giordano Bruno,21894
Frantz Fanon,21893
Rainer Maria Rilke,21893
Cliff Robertson,21887
Michel Platini,21872
Hamad bin Khalifa,21871
Camille Saint-Saëns,21861
Tacitus,21828
Aristophanes,21824
Takeshi Kitano,21822
Vyacheslav Molotov,21815
Greyson Michael Chance,21766
Jakub Błaszczykowski,21758
Chris Smalling,21730
Bobby McFerrin,21714
Isabel Allende,21712
Vivienne Westwood,21709
Bill Bryson,21674
José Martí,21670
Maximilian I of Mexico,21646
Maharishi Mahesh Yogi,21642
Władysław Szpilman,21638
Rosalynn Carter,21631
Samuel,21617
Edvard Grieg,21605
Skanderbeg,21599
Maurice Gibb,21588
Grigori Perelman,21578
Carl Lewis,21558
Friedensreich Hundertwasser,21544
Suharto,21486
Qaboos bin Said Al Said of Oman,21482
Scott Joplin,21481
Mia Hamm,21475
Ayaan Hirsi Ali,21474
Stan Laurel,21472
Duff McKagan,21467
Maximilian Kolbe,21456
Paolo Di Canio,21435
Benny Goodman,21429
Álvar Núñez Cabeza de Vaca,21391
Lech Wałęsa,21376
Paulo Freire,21365
Gilles Deleuze,21345
Ken Livingstone,21330
Lenka,21327
José Raúl Capablanca,21325
Vyasa,21306
Mario Vargas Llosa,21305
Klaus Barbie,21290
Charles Durning,21287
Venus Williams,21277
Charles Rennie Mackintosh,21254
Pope Paul VI,21242
Vesalius,21242
Osamu Tezuka,21239
Martin Demichelis,21233
Mitch Mitchell,21229
Rajneesh Shree,21228
Harry Redknapp,21213
John Gielgud,21202
Imelda Staunton,21199
Viktor Yanukovych,21194
Pete Postlethwaite,21182
Glenn Ford,21174
Alex Oxlade-Chamberlain,21170
Klaus Kinski,21166
Charles Mingus,21164
Daniel Agger,21134
Park Chung-hee,21108
Thabo Mbeki,21106
Jozy Altidore,21102
John Henry Cardinal Newman,21100
Ole Gunnar Solskjær,21089
Saint Lucy,21080
Roland Emmerich,21067
Satyendra Nath Bose,21060
David Wenham,21056
Alexandra Stan,21054
Dave Brubeck,21054
John Howard,21046
David Ferrer,21032
Sami Hyypiä,21016
Martha Washington,21012
Chazz Palminteri,20999
Johann Pachelbel,20962
Nicky Butt,20951
Philip Roth,20941
Mary Cassatt,20935
Wilhelm Keitel,20934
Shelley Winters,20915
William Golding,20880
Rem Koolhaas,20876
Melanie Brown,20874
Nwankwo Kanu,20863
Willy Brandt,20849
Origen,20848
Wu Zetian,20837
Marcus Vitruvius Pollio,20819
Erica Durance,20818
Peter MacNicol,20816
Joe Cole,20809
Paz Vega,20796
Seth,20796
Porfirio Díaz,20790
Alessandro Nesta,20787
Annie Besant,20770
Abdus Salam,20731
Bo Diddley,20709
Germaine Greer,20706
David Strathairn,20670
David Coulthard,20639
Harold Macmillan,20637
Beatrix of the Netherlands,20635
George Sand,20627
Pastor Maldonado,20624
Claudette Colbert,20619
Robert Koch,20617
Mahathir bin Mohamad,20600
Sargon of Akkad,20580
Bill Kaulitz,20575
Asif Ali Zardari,20563
Benito Juárez,20542
Jane Wyman,20522
Hussein of Jordan,20519
Eduardo da Silva,20502
Johann Strauss II,20479
Sri Aurobindo,20478
Joyce Carol Oates,20469
Francis Galton,20469
Fritz Haber,20465
Dante Gabriel Rossetti,20457
Mario Andretti,20453
Hillel Slovak,20438
Rex Harrison,20434
Charlie Kaufman,20430
Edward G. Robinson,20427
Christine Lagarde,20419
Hiroo Onoda,20413
Bud Spencer,20404
Louis de Broglie,20390
Abou Diaby,20387
Martina Hingis,20374
Cab Calloway,20373
Nancy Ajram,20356
Wilhelm Reich,20336
Rosa Luxemburg,20330
Ellen Johnson Sirleaf,20319
Mark Schwarzer,20318
Bartolomé de Las Casas,20306
Nena,20302
Juan Martin Del Potro,20300
Benoît Mandelbrot,20291
Gustave Doré,20289
Louis Braille,20263
Juan Pablo Montoya,20259
Douglas Engelbart,20258
Mika Häkkinen,20254
Satoshi Tajiri,20254
Eros Ramazzotti,20211
Giovanni da Verrazano,20192
Johann Christoph Friedrich von Schiller,20187
Mehmed II,20184
Erich Fromm,20184
Kevin Michael Richardson,20175
John Constable,20174
Loretta Young,20152
Hector Berlioz,20130
Khalid ibn al-Walid,20129
I. M. Pei,20110
Alexander I of Russia,20080
Saint Stephen,20074
Martin Jol,20056
Ingvar Kamprad,20049
Syed Ahmed Khan,20035
Raymond Carver,20029
Deco,20028
Uthman ibn Affan,20012
Will Sasso,19994
Obafemi Martins,19976
Ernst Haeckel,19966
Til Schweiger,19952
Neven Subotic,19943
Robert Kubica,19942
Theodor W. Adorno,19937
Maximilian Schell,19937
Simon Wiesenthal,19936
Raymond Chandler,19934
Louis XVIII of France,19926
James V of Scotland,19919
Quentin Bryce,19901
Jan Hus,19894
Kwame Nkrumah,19865
Silvia Saint,19859
Joseph Priestley,19852
Marc Bartra,19838
Ken Follett,19799
Marcello Lippi,19784
Amare Stoudemire,19783
Kamehameha I,19771
Morarji Desai,19761
Diego Ribas da Cunha,19742
John Philip Sousa,19729
Jo Nesbø,19724
Mary II of England,19694
Ahmed Shah Massoud,19673
Malcolm Young,19657
Lothar Matthäus,19654
Leon Panetta,19651
Sergio Busquets,19650
Pope Gregory I,19646
Robert Ludlum,19635
Glenn Gould,19627
Dayana Mendoza,19619
Michael Vartan,19583
Ezequiel Iván Lavezzi,19581
Federico Macheda,19573
Margaret Mitchell,19564
Kurt Gödel,19562
Liliʻuokalani,19552
Jorge Lorenzo,19546
Terence Hill,19537
Romain Grosjean,19528
Darren Fletcher,19511
Pavel Nedvěd,19503
Louise Fletcher,19482
Manu Ginóbili,19481
Zulfikar Ali Bhutto,19472
Gackt,19470
Bebé,19466
Ferdinand II of Aragon,19465
Ferdinand de Saussure,19464
Jacques Chirac,19452
Humphry Davy,19443
Jason Robards,19428
Mahmud of Ghazni,19415
Yuri Andropov,19406
Luca Toni,19405
Mark Hughes,19391
Ray Manzarek,19386
John Woo,19382
Sheikh Hasina,19363
Walter Brennan,19354
Roberto Benigni,19344
Benny Andersson,19341
Roberto Di Matteo,19340
Thutmose III,19320
Howard Gardner,19315
Nana Mouskouri,19312
Caster Semenya,19305
Erich von Däniken,19297
Reinhold Messner,19293
Pierre-Simon Laplace,19279
Farah Pahlavi,19250
Izzy Stradlin,19248
Randy Pausch,19247
Danny Aiello,19236
Ralph Vaughan Williams,19224
Pope Leo X,19184
Martina Navratilova,19182
John Chrysostom,19176
Stuart Sutcliffe,19163
Wong Kar-wai,19121
Jean Cocteau,19101
Björn Ulvaeus,19100
Didier Deschamps,19099
Patrick McGoohan,19093
Milan Kundera,19077
Sylvia Kristel,19070
Jacques Brel,19068
Adam Weishaupt,19059
Javier Saviola,19053
Yann Martel,19051
Erich Hartmann,19051
Samuel Pepys,19028
J. G. Ballard,19023
Saint Anne,19014
Sun Myung Moon,18992
João Moutinho,18984
Amanda Tapping,18977
Charlie Watts,18976
Erik the Red,18975
Jean Michel Jarre,18967
Sergio Pérez,18961
Joachim von Ribbentrop,18955
Romy Schneider,18954
Lazarus of Bethany,18926
David Coverdale,18924
Theodosius I,18910
Benedict of Nursia,18908
Peggy Lee,18885
Salomon Kalou,18879
Jay-Jay Okocha,18856
Jean-Baptiste Lamarck,18856
Lucas Grabeel,18832
Thiago Motta,18832
Robert Fripp,18792
Juninho Pernambucano,18786
Owen Hargreaves,18778
Tadao Ando,18769
Justin I,18768
Nigel Mansell,18764
Brian Epstein,18755
John Foster Dulles,18741
Tom Stoppard,18727
George Stephenson,18727
Kurt Waldheim,18719
Walter Gropius,18709
Dean Koontz,18697
P. T. Barnum,18683
Betty Friedan,18676
Edward Elgar,18640
Sergey Karjakin,18638
Joachim Löw,18630
John Browning,18628
Diodorus Siculus,18608
Rachel Carson,18604
Ana Ivanović,18596
Georgios Samaras,18595
Johnny Weissmuller,18582
Anthony Burgess,18579
Thomas Carlyle,18578
Viktor Yushchenko,18562
Louis-Philippe I of France,18553
Hans Holbein the Younger,18549
Allison Mack,18513
Leslie Cheung,18512
Count Basie,18511
Frank Rijkaard,18510
Herman Cain,18505
Xenophon,18494
Józef Piłsudski,18490
Dirk Kuyt,18466
Bode Miller,18465
Marouane Chamakh,18456
Carl von Clausewitz,18441
Gianfranco Zola,18431
David Irving,18422
Philippe Pétain,18412
Lee Strasberg,18407
Clare of Assisi,18383
Kevin Keegan,18372
Fredrik Ljungberg,18366
Gustave Eiffel,18332
Heinz Guderian,18304
Edward Teller,18294
Chester Nimitz,18260
Bartholomäus,18255
P. V. Narasimha Rao,18248
Domitian,18247
Henry Purcell,18242
Cyd Charisse,18240
Zhou Enlai,18236
Alfredo Di Stéfano,18224
Bobby Moore,18223
Dwight Yorke,18218
Averroes,18200
Mario Puzo,18195
Ambrose Bierce,18188
Sophie Monk,18180
Levi Strauss,18174
Gheorghe Hagi,18168
Cathy Freeman,18158
Arvo Pärt,18132
Mohammed Mossadegh,18114
Gaspard Ulliel,18093
Billy Wilder,18074
Arda Turan,18071
Park Chu-Young,18058
Eiichiro Oda,18053
Gloria Stuart,18053
Marek Hamšík,18043
Theodor Herzl,18029
Louis Kahn,18018
Enver Hoxha,17994
Claude Elwood Shannon,17971
Dianne Wiest,17970
Liu Xiaobo,17966
William Pitt the Younger,17943
Miguel Hidalgo,17930
Ibrahim Afellay,17920
Muhammad ibn Musa al-Khwarizmi,17902
William Hogarth,17893
Henry III of France,17889
Barbarossa Khair ad Din Pasha,17866
Suzanne Vega,17862
Éamon de Valera,17847
Charles IX of France,17806
David Hilbert,17795
Mohamed Zidan,17790
Donald Knuth,17777
Shelton Benjamin,17740
Marion Jones,17725
Harry Kewell,17718
Ben Gazzara,17700
Pauleta,17688
Steve Reich,17686
Charles Edward Stuart,17685
"Naruhito, Crown Prince of Japan",17638
Björn Borg,17629
Maxi López,17624
Rudolf Nureyev,17619
Ross Brawn,17618
Miralem Pjanic,17618
Erich Maria Remarque,17613
Lena Katina,17604
William Ewart Gladstone,17600
Tom Wolfe,17596
Emmanuel Frimpong,17590
Don DeLillo,17586
Edward Heath,17556
Rubens Barrichello,17553
James Horner,17548
Mohamed Atta,17536
Helmut Kohl,17531
Taio Cruz,17528
Clyde Drexler,17524
Mamie Eisenhower,17517
Jean-Paul Belmondo,17510
Rudolf Virchow,17509
Epictetus,17508
Ian Gillan,17497
Arnold Vosloo,17478
Alex Haley,17471
John Maxwell Coetzee,17471
Georg Cantor,17460
Shaun Wright-Phillips,17459
Ibn Saud of Saudi Arabia,17459
Karen Blixen,17451
Paul Kagame,17432
Iain Banks,17432
Maggie Cheung,17429
Václav Havel,17403
Dino De Laurentiis,17377
J. Christopher Stevens,17364
Konrad Adenauer,17361
Jean Chrétien,17346
Samuel Colt,17321
Joel Schumacher,17320
Fabio Capello,17310
Louis Althusser,17309
Jennifer Jones,17299
Louise Bourgeois,17290
Andrew Wiles,17283
Javier Mascherano,17282
Martin de Porres,17280
Wayne Bridge,17275
Daniele De Rossi,17274
Oscar Niemeyer,17272
Joanna of Castile,17271
Marco Materazzi,17270
V.S. Naipaul,17265
Daniel Dennett,17250
George Berkeley,17241
John Petrucci,17232
Maxim Gorky,17209
Zhuangzi,17207
Antonin Artaud,17205
John Lee Hooker,17193
Javier Martínez Aguinaga,17178
Louis Saha,17173
Henry Moseley,17170
Lionel Barrymore,17157
Robert Altman,17154
Eric Prydz,17147
Sergei Eisenstein,17135
Lester B. Pearson,17119
Lillian Gish,17103
Kenny Dalglish,17093
Isabella of France,17082
Alexander von Humboldt,17074
Nicholas I of Russia,17072
Teddy Sheringham,17067
Pierre Cardin,17057
Dalida,17053
Ezra,17049
Sarah Bernhardt,17040
Raoul Wallenberg,17033
Andrés Escobar,17017
Vladimir Komarov,17001
Jean Auguste Dominique Ingres,17000
Jean Giraud,16983
Javier Pastore,16980
John Galliano,16972
Sher Shah Suri,16966
Mohammed VI of Morocco,16962
Luke the Evangelist,16949
Katie Leung,16947
Michel Teló,16933
Artemisia Gentileschi,16909
Stanislav Petrov,16883
Philip Zimbardo,16882
Giuseppe Arcimboldo,16877
William-Adolphe Bouguereau,16876
Frederick Banting,16875
John Bardeen,16875
Otto Skorzeny,16869
Yossi Benayoun,16865
Alois Hitler,16857
Douglas Fairbanks,16854
Jonny Greenwood,16853
Christopher Paolini,16846
Juan Sebastián Verón,16839
Frank Capra,16836
Eero Saarinen,16827
Irvine Welsh,16826
Moshe Dayan,16821
Christian VII of Denmark,16816
Freeman Dyson,16814
Éric Abidal,16812
Klaas Jan Huntelaar,16785
Brian Molko,16781
Alfred Rosenberg,16770
Alvar Aalto,16766
John Kenneth Galbraith,16763
Oliver Hardy,16763
Daphne du Maurier,16758
Santiago Calatrava,16745
Rainer Werner Fassbinder,16728
Muhammad Zia-ul-Haq,16727
Itzhak Perlman,16709
Cao Cao,16708
Sol Campbell,16703
Joseph Beuys,16700
Robert K. Merton,16697
Helen Hayes,16695
Najib Tun Razak,16678
Luiz Felipe Scolari,16671
Husayn ibn Ali,16653
Jean Sibelius,16645
Henry A. Wallace,16644
Cecil B. DeMille,16632
Franz Marc,16625
William II of England,16616
Ian Anderson,16605
Marcia Cross,16605
D. W. Griffith,16598
Jeanne Moreau,16594
Antiochus IV Epiphanes,16588
Anita Ekberg,16579
Pablo Aimar,16579
Demis Roussos,16579
Damon Hill,16567
John James Audubon,16554
Ronnie O'Sullivan,16553
Kazuo Ishiguro,16545
Abdul Qadir Jelani,16527
Gustave Flaubert,16517
Casey Stoner,16517
Ferdinand Porsche,16513
Jorge Garcia,16502
Jackie Stewart,16502
Marine Le Pen,16498
Dražen Petrović,16489
Adil Rami,16484
Nico Rosberg,16472
Primo Levi,16454
Eusébio,16453
Robert Byrd,16440
Anthony Eden,16416
Gloria Macapagal-Arroyo,16409
Shirley Booth,16407
Cantinflas,16404
Shay Given,16403
Rod Steiger,16400
Brian Mulroney,16387
Blake Edwards,16381
Mirza Ghalib,16378
Fritz Lang,16370
Mikhail Tal,16332
Vanessa-Mae,16332
Sophie Scholl,16322
John Knox,16320
Zoe,16313
Ivan Rakitić,16312
George Eastman,16310
Pope Urban II,16308
Samuel Doe,16291
Patrick Kluivert,16280
Takeshi Kaneshiro,16268
William Friedkin,16264
Septimius Severus,16259
Roger Penrose,16246
Paul Erdős,16231
James Milner,16227
Ambrose,16223
Claudio Monteverdi,16222
Harald V of Norway,16219
Thomas Samuel Kuhn,16219
William Westmoreland,16207
Martha Graham,16204
Valmiki,16204
Howard Shore,16195
Erich von Manstein,16193
Ramana Maharshi,16189
Polybius,16186
Eugene O'Neill,16163
Charles X of France,16157
Gustavus Adolphus of Sweden,16145
Robert Jordan,16141
Juanes,16135
Michael Shanks,16120
Evo Morales,16099
Ian Paisley,16087
Wole Soyinka,16082
Kurt Lewin,16081
Murray Rothbard,16081
"Sebastian Coe, Baron Coe",16076
Ichiro Suzuki,16049
