7,3
197 00,mitte
137 00,mitte
168 00,mitte
196 00,mitte
764 00,mitte
1444 00,mitte
1473 00,mitte
1208 00,mitte
913 00,mitte
705 00,mitte
443 00,mitte
280 00,mitte
194 00,mitte
130 00,mitte
67 00,mitte
58 00,mitte
22 00,mitte
15 00,mitte
3 00,mitte
1902 00,mitte
1363 00,mitte
933 00,mitte
728 00,mitte
1575 00,mitte
2791 00,mitte
3463 00,mitte
3341 00,mitte
3447 00,mitte
3242 00,mitte
2326 00,mitte
1805 00,mitte
1428 00,mitte
1220 00,mitte
1585 00,mitte
1229 00,mitte
735 00,mitte
237 00,mitte
70 00,mitte
6 00,mitte
187 00,mitte
169 00,mitte
157 00,mitte
206 00,mitte
957 00,mitte
1743 00,mitte
1493 00,mitte
1033 00,mitte
836 00,mitte
482 00,mitte
347 00,mitte
262 00,mitte
167 00,mitte
119 00,mitte
73 00,mitte
24 00,mitte
35 00,mitte
15 00,mitte
6 00,mitte
1796 00,mitte
1345 00,mitte
895 00,mitte
752 00,mitte
1622 00,mitte
2895 00,mitte
3297 00,mitte
2773 00,mitte
2642 00,mitte
2532 00,mitte
2032 00,mitte
1776 00,mitte
1413 00,mitte
1462 00,mitte
2121 00,mitte
1624 00,mitte
960 00,mitte
549 00,mitte
210 00,mitte
47 00,mitte
237 00,moabit
202 00,moabit
257 00,moabit
419 00,moabit
901 00,moabit
1250 00,moabit
1244 00,moabit
1118 00,moabit
1016 00,moabit
891 00,moabit
668 00,moabit
423 00,moabit
357 00,moabit
364 00,moabit
254 00,moabit
166 00,moabit
40 00,moabit
12 00,moabit
6 00,moabit
3 00,moabit
1509 00,moabit
1220 00,moabit
1098 00,moabit
1071 00,moabit
2327 00,moabit
3146 00,moabit
2576 00,moabit
1807 00,moabit
1908 00,moabit
2283 00,moabit
2121 00,moabit
1704 00,moabit
1461 00,moabit
1050 00,moabit
1050 00,moabit
641 00,moabit
285 00,moabit
124 00,moabit
40 00,moabit
10 00,moabit
212 00,moabit
193 00,moabit
270 00,moabit
390 00,moabit
896 00,moabit
1289 00,moabit
1082 00,moabit
992 00,moabit
774 00,moabit
687 00,moabit
530 00,moabit
473 00,moabit
509 00,moabit
371 00,moabit
235 00,moabit
139 00,moabit
36 00,moabit
18 00,moabit
6 00,moabit
1465 00,moabit
1231 00,moabit
1092 00,moabit
1049 00,moabit
2572 00,moabit
2880 00,moabit
2204 00,moabit
1429 00,moabit
1483 00,moabit
1865 00,moabit
1767 00,moabit
1520 00,moabit
1290 00,moabit
963 00,moabit
1068 00,moabit
798 00,moabit
542 00,moabit
347 00,moabit
178 00,moabit
41 00,moabit
3 00,hansaviertel
21 00,hansaviertel
12 00,hansaviertel
15 00,hansaviertel
149 00,hansaviertel
188 00,hansaviertel
79 00,hansaviertel
57 00,hansaviertel
49 00,hansaviertel
36 00,hansaviertel
37 00,hansaviertel
37 00,hansaviertel
19 00,hansaviertel
6 00,hansaviertel
12 00,hansaviertel
17 00,hansaviertel
3 00,hansaviertel
93 00,hansaviertel
54 00,hansaviertel
59 00,hansaviertel
55 00,hansaviertel
121 00,hansaviertel
146 00,hansaviertel
120 00,hansaviertel
92 00,hansaviertel
152 00,hansaviertel
225 00,hansaviertel
157 00,hansaviertel
139 00,hansaviertel
159 00,hansaviertel
162 00,hansaviertel
151 00,hansaviertel
89 00,hansaviertel
52 00,hansaviertel
25 00,hansaviertel
6 00,hansaviertel
6 00,hansaviertel
6 00,hansaviertel
10 00,hansaviertel
21 00,hansaviertel
186 00,hansaviertel
110 00,hansaviertel
89 00,hansaviertel
39 00,hansaviertel
31 00,hansaviertel
46 00,hansaviertel
25 00,hansaviertel
30 00,hansaviertel
16 00,hansaviertel
15 00,hansaviertel
10 00,hansaviertel
15 00,hansaviertel
3 00,hansaviertel
3 00,hansaviertel
66 00,hansaviertel
74 00,hansaviertel
53 00,hansaviertel
67 00,hansaviertel
105 00,hansaviertel
95 00,hansaviertel
97 00,hansaviertel
94 00,hansaviertel
129 00,hansaviertel
137 00,hansaviertel
131 00,hansaviertel
