3,2
1a,mitte
1b,mitte
1c,mitte
1d,mitte
1e,mitte
1f,mitte
2a,mitte
2b,mitte
2c,mitte
2d,mitte
2e,mitte
3a,mitte
3b,mitte
3c,mitte
3d,mitte
3e,mitte
3f,mitte
4a,mitte
4b,mitte
4c,mitte
4d,mitte
4e,mitte
4f,mitte
5a,mitte
5b,mitte
5c,mitte
5d,mitte
5e,mitte
6a,mitte
6b,mitte
6c,mitte
6d,mitte
6e,mitte
6f,mitte
100,mitte
101,mitte
102,mitte
103,mitte
104,mitte
105,mitte
106,mitte
107,mitte
108,mitte
109,mitte
110,mitte
111,mitte
112,mitte
113,mitte
114,mitte
115,mitte
116,mitte
117,mitte
118,mitte
119,mitte
120,mitte
121,mitte
122,mitte
123,mitte
124,mitte
125,mitte
126,mitte
127,mitte
128,mitte
129,mitte
130,mitte
131,mitte
200,mitte
201,mitte
202,mitte
203,mitte
204,mitte
205,mitte
206,mitte
207,mitte
208,mitte
209,mitte
210,mitte
211,mitte
212,mitte
213,mitte
214,mitte
215,mitte
216,mitte
217,mitte
218,mitte
219,mitte
220,mitte
221,mitte
222,mitte
223,mitte
224,mitte
225,mitte
226,mitte
227,mitte
228,mitte
229,mitte
230,mitte
231,mitte
300,mitte
301,mitte
302,mitte
303,mitte
304,mitte
305,mitte
306,mitte
307,mitte
308,mitte
309,mitte
310,mitte
311,mitte
312,mitte
313,mitte
314,mitte
315,mitte
316,mitte
317,mitte
318,mitte
319,mitte
320,mitte
321,mitte
322,mitte
323,mitte
324,mitte
325,mitte
326,mitte
327,mitte
328,mitte
329,mitte
330,mitte
400,mitte
401,mitte
402,mitte
403,mitte
404,mitte
405,mitte
406,mitte
407,mitte
408,mitte
409,mitte
410,mitte
411,mitte
412,mitte
413,mitte
414,mitte
415,mitte
416,mitte
417,mitte
418,mitte
419,mitte
420,mitte
421,mitte
422,mitte
423,mitte
424,mitte
425,mitte
426,mitte
427,mitte
428,mitte
429,mitte
430,mitte
431,mitte
432,mitte
433,mitte
500,mitte
501,mitte
502,mitte
503,mitte
504,mitte
505,mitte
506,mitte
507,mitte
508,mitte
509,mitte
510,mitte
511,mitte
512,mitte
513,mitte
514,mitte
515,mitte
516,mitte
517,mitte
518,mitte
519,mitte
520,mitte
521,mitte
522,mitte
523,mitte
524,mitte
525,mitte
526,mitte
527,mitte
528,mitte
529,mitte
530,mitte
600,mitte
601,mitte
602,mitte
603,mitte
604,mitte
605,mitte
606,mitte
607,mitte
608,mitte
609,mitte
610,mitte
611,mitte
612,mitte
613,mitte
614,mitte
615,mitte
616,mitte
617,mitte
618,mitte
619,mitte
620,mitte
621,mitte
622,mitte
