1,12
49 51,keun
4 7,arntz
126 128,klein dreesen
67 68,rdell
65 66,langen
22 23,leybold
49 50,hnig
20,farina bouressi
2,von wissmann
44,grlinger
45a 45b,bckler dr
31 33,schildmann
1,heidemann
8 9,hagen junker
14,hospelt
33,hartmann
4,grneberg
5 6,scheibler
10 11,oelbermann
1,pflaume
28 29,haubrich millowitsch
32 33,millowitsch
5,jahto
223 226,von becker
17 18,dr esser
41 44,fischer
10 11,voigtel
5 8,wllner
1 2,jnger
112 113,thewald
103,hausmann
209,dr dormagen
265 266,hagen
81 82,dilschneider
67 72,frhlich
110 114,kohlhaas
439 440,von osthegraven
269 270,gronewald
76a 76b,otto
353,ptz gorius
144 146,de noel
26,roesberg
29 32,edelmann
182a 182b,reichensperger dr
315,marx
24 26,merlo
75,haas
143 148,heuser
270 272,rolffs
319 320,jansen
205 208,bodewig
22,meister
228 229,stupp
97 100,scheben
216,gottschalk
257 260,engels
24 25,pallenberg
287 290,camphausen
69 70,leichtenstern
199 200,hausmann
274 276,matzerath
95,hausmann
215 217,kyll bredt
305 308,frangenheim
31a,hausmann
31 32,hausmann
1a 1b,wallraf richarz
9,von wittgenstein
13,molinari
34 35,delius
43 43a,von wittgenstein
46 47,weyer essingh
51,tosetti haan
67 68,imhoff
79 80,sybertz
89 90,svenson
100 101,mller schnitzler
103 104,stein
110 112,mevissen dr stein
116 118,langen
126,hagen schmitz
129 130,vom rath
133,zwirner
135,guffanti
136,schlgen
179 180,schlgen
186,guilleaume
205,schwann
229,clouth
248,van nes ziegler
253 255,von guilleaume
256,burauen dr
269,schnitzler dr
275 276,vorster
285,kaesen
296 297,rautenstrauch
301 302,wallraf berghaus
306 308,camphausen
331,pallenberg
347,von hiller
349,becker
390,funke kaiser
402,burger
76,martersteig
10,forst
127,richter
490,abtes seiko kono
