0,25
point 376557 5704567,soziales soziale einrichtungen werksttten radstation am hauptbahnhof bochum
point 376576 5704592,soziales soziale einrichtungen versorgung bahnhofsmission
point 349924 5707652,soziales soziale einrichtungen versorgung gemeindecaritas christ knig
point 382880 511537239 5712172 74395328,soziales soziale einrichtungen sonstige einrichtungen pastoralverbund castrop rauxel sd
point 389721 5704472,soziales soziale einrichtungen sonstige einrichtungen seniorenzentrum haus am tiefenbach
point 361613 505660671 5702070 83650867,soziales soziale einrichtungen sonstige einrichtungen malteser hilfsdienst e dizesangeschftsstelle
point 376982 5704246,soziales soziale einrichtungen versorgung wohnzimmer alsenstrae e alsenwohnzimmer
point 382880 5712195,soziales soziale einrichtungen sonstige einrichtungen caritasverband fr die stadt castrop rauxel e
point 375508 5704671,soziales soziale einrichtungen versorgung laden 9 initiative botopia
point 328420 5701599,soziales soziale einrichtungen sonstige einrichtungen hospizverein neukirchen vluyn e
point 373670 5703835,soziales soziale einrichtungen sonstige einrichtungen multikulturelles zentrum herbert siebold haus
point 387624 5714743,soziales soziale einrichtungen sonstige einrichtungen seniorenheim mengede
point 390795 5695451,soziales soziale einrichtungen sonstige einrichtungen deutscher kinderschutzbund e ortsverband herdecke
point 335336 5702645,soziales soziale einrichtungen sonstige einrichtungen sozialdienst katholischer mnner e moers ostring
point 362324 5697259,soziales soziale einrichtungen sonstige einrichtungen emil frick haus
point 361785 474043699 5702824 25382829,soziales soziale einrichtungen sonstige einrichtungen dksb kinderschutz zentrum
point 372656 30677402 5709301 51762137,soziales soziale einrichtungen sonstige einrichtungen drk fachbereich einsatzdienste
point 359065 260998197 5705447 33328496,soziales soziale einrichtungen sonstige einrichtungen gab gesellschaft fr arbeits und berufsfrderung essen mbh
point 337528 5701322,soziales soziale einrichtungen werksttten tuwas neue arbeit niederrhein
point 372656 30677402 5709301 51762137,soziales soziale einrichtungen sonstige einrichtungen drk kreisverband wanne eickel e
point 359722 5724722,soziales soziale einrichtungen sonstige einrichtungen tagessttte fr psychisch behinderte
point 382316 5703919,soziales soziale einrichtungen werksttten beratungsstelle psychosoziale hilfe bochum e
point 383096 5703175,soziales soziale einrichtungen sonstige einrichtungen kontaktstelle psychosoziale hilfen bochum e
point 363917 710211809 5700381 43505864,soziales soziale einrichtungen sonstige einrichtungen frauengruppe im hermann friebe haus
point 371198 5717841,soziales soziale einrichtungen sonstige einrichtungen deutsches rotes kreuz drk stadtverband herten e
point 362192 5702964,soziales soziale einrichtungen werksttten alze
point 363257 443405905 5700799 72844015,soziales soziale einrichtungen sonstige einrichtungen johanniter unfall hilfe e
point 361163 942802191 5701966 18706266,soziales soziale einrichtungen sonstige einrichtungen strafflligenhilfe und fachstelle zur ableistung gemeinntziger arbeit
point 384089 5686505,soziales soziale einrichtungen sonstige einrichtungen bdh bundesverband fr rehabilitation und interessenvertretung behinderter kreisverband ennepe ruhr
point 418180 5724718,soziales soziale einrichtungen werksttten lebenshilfe hamm e
point 372294 085449985 5710496 03958777,soziales soziale einrichtungen sonstige einrichtungen diakonie wanne eickel informations und motivationsgruppe fr suchtkranke und angehrige von suchtkranken
point 331788 5702069,soziales soziale einrichtungen sonstige einrichtungen deutsches rotes kreuz
point 332540 5699052,soziales soziale einrichtungen sonstige einrichtungen awo begegnungssttte kapellen
point 375511 5735076,soziales soziale einrichtungen werksttten jugendwerkstatt haltern
