0,7
www offenedaten koeln de sites default files kln gesamt einwohnerinnen und einwohner mit migrationshintergrund csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fk c3 b6ln gesamt einwohnerinnen und einwohner mit migrationshintergrund csv
www offenedaten koeln de sites default files stadtteile einwohnerinnen und einwohner mit migrationshhintergrund csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtteile einwohnerinnen und einwohner mit migrationshhintergrund csv
offenedaten koeln de sites default files 2016 05 flaechennutzungsplan zip,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2f2016 05 flaechennutzungsplan zip
www offenedaten koeln de sites default files tourismuskarte pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2ftourismuskarte pdf
www offenedaten koeln de sites default files grenzen koeln schematisiert pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fgrenzen koeln schematisiert pdf
www offenedaten koeln de sites default files 2016 05 flaechennutzungsplan zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2016 05 flaechennutzungsplan zip
offenedaten koeln de sites default files stadtteil zip,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtteil zip
offenedaten koeln de sites default files fnpkoelnlegende pdf,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2ffnpkoelnlegende pdf
www stadt koeln de externe dienste open data downloads stadtkarte farbig zip,downloadurl http 3a 2f 2fwww stadt koeln de 2fexterne dienste 2fopen data 2fdownloads 2fstadtkarte farbig zip
www offenedaten koeln de sites default files stadtkartenwerk wms beispiele v1 pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtkartenwerk wms beispiele v1 pdf
www offenedaten koeln de sites default files wahllokale csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fwahllokale csv
www offenedaten koeln de sites default files 2012 migrationshintergrund insgesamt csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2012 migrationshintergrund insgesamt csv
www offenedaten koeln de sites default files shape stadtviertel zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fshape stadtviertel zip
www offenedaten koeln de sites default files stadtteil zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtteil zip
www offenedaten koeln de sites default files fnpkoelnlegende pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2ffnpkoelnlegende pdf
www offenedaten koeln de sites default files stadtteil stadtflche einwohnerdichte einwohner innen nach wohnstatus csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtteil stadtfl c3 a4che 2c einwohnerdichte 2c einwohner innen nach wohnstatus csv
www offenedaten koeln de sites default files blattuebersicht pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fblattuebersicht pdf
www offenedaten koeln de sites default files stadtteile geburten und sterbeflle csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtteile geburten und sterbef c3 a4lle csv
www offenedaten koeln de sites default files 2012 herkunftslaender insgesamt csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2012 herkunftslaender insgesamt csv
offenedaten koeln de sites default files 2017 07 flaechennutzungsplan zip,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2f2017 07 flaechennutzungsplan zip
www kvb koeln de opendata haltestellen csv,downloadurl http 3a 2f 2fwww kvb koeln de 2fopendata 2fhaltestellen csv
www offenedaten koeln de sites default files stadtbezirk einwohnerinnen und einwohner mit migrationshhintergrund csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtbezirk einwohnerinnen und einwohner mit migrationshhintergrund csv
offenedaten koeln de sites default files kln gesamt einwohnerinnen und einwohner mit migrationshintergrund csv,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fk c3 b6ln gesamt einwohnerinnen und einwohner mit migrationshintergrund csv
www offenedaten koeln de sites default files zhlwerte 2010 2016 14102016 1300 pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fz c3 a4hlwerte 2010 2016 14102016 1300 pdf
www offenedaten koeln de sites default files kln gesamt geburten und sterbeflle csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fk c3 b6ln gesamt geburten und sterbef c3 a4lle csv
www stadt koeln de externe dienste open data downloads innenstadt ergebnis zip,downloadurl http 3a 2f 2fwww stadt koeln de 2fexterne dienste 2fopen data 2fdownloads 2finnenstadt ergebnis zip
www offenedaten koeln de sites default files 2012 geburtensterbefaelle insgesamt csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2012 geburtensterbefaelle insgesamt csv
www stadt koeln de externe dienste open data downloads stadtkarte grau zip,downloadurl http 3a 2f 2fwww stadt koeln de 2fexterne dienste 2fopen data 2fdownloads 2fstadtkarte grau zip
offenedaten koeln de sites default files shapes bestand einzelbaeume koeln zip,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fshapes bestand einzelbaeume koeln zip
www offenedaten koeln de sites default files stadtkarte infos rasterdaten10000 pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtkarte infos rasterdaten10000 pdf
www offenedaten koeln de sites default files 2015 08 11sirenenliste csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2015 08 11sirenenliste csv
api nextbike net maps nextbike live xml city 14,downloadurl http 3a 2f 2fapi nextbike net 2fmaps 2fnextbike live xml 3fcity 3d14
offenedaten koeln de sites default files vornamen koeln 2016 csv,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fvornamen koeln 2016 csv
www offenedaten koeln de sites default files shapes bestand einzelbaeume koeln zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fshapes bestand einzelbaeume koeln zip
www stadt koeln de externe dienste open data downloads stadtkarte verwaltungsgrenzen zip,downloadurl http 3a 2f 2fwww stadt koeln de 2fexterne dienste 2fopen data 2fdownloads 2fstadtkarte verwaltungsgrenzen zip
www offenedaten koeln de sites default files gruenobjekte koeln zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fgruenobjekte koeln zip
www offenedaten koeln de sites default files 20150522 denkmalliste csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f20150522 denkmalliste csv
download vrsinfo de gtfs google transit zip,downloadurl http 3a 2f 2fdownload vrsinfo de 2fgtfs 2fgoogle transit zip
www offenedaten koeln de sites default files dachansicht lod2 part1 zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fdachansicht lod2 part1 zip
offenedaten koeln de sites default files stadtteile einwohnerinnen und einwohner mit migrationshhintergrund csv,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtteile einwohnerinnen und einwohner mit migrationshhintergrund csv
wahlen stadt koeln de prod btw2017 05315000 html5 bundestagswahl386 csv,downloadurl http 3a 2f 2fwahlen stadt koeln de 2fprod 2fbtw2017 2f05315000 2fhtml5 2fbundestagswahl386 csv
www offenedaten koeln de sites default files kln gesamt auslnderinnen und auslnder nach ausgewhlten herkunftslndern csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fk c3 b6ln gesamt ausl c3 a4nderinnen und ausl c3 a4nder nach ausgew c3 a4hlten herkunftsl c3 a4ndern csv
api nextbike net maps nextbike official xml city 14,downloadurl http 3a 2f 2fapi nextbike net 2fmaps 2fnextbike official xml 3fcity 3d14
www offenedaten koeln de sites default files stadtbezirk stadtflche einwohnerdichte einwohner innen nach wohnstatus csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtbezirk stadtfl c3 a4che 2c einwohnerdichte 2c einwohner innen nach wohnstatus csv
download vrsinfo de gtfs google transit db zip,downloadurl http 3a 2f 2fdownload vrsinfo de 2fgtfs 2fgoogle transit db zip
www offenedaten koeln de rss xml,downloadurl https 3a 2f 2fwww offenedaten koeln de 2frss xml
www offenedaten koeln de sites default files vornamen koeln 2016 csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fvornamen koeln 2016 csv
www offenedaten koeln de sites default files kln gesamt stadtflche einwohnerdichte einwohner innen nach wohnstatus csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fk c3 b6ln gesamt stadtfl c3 a4che 2c einwohnerdichte 2c einwohner innen nach wohnstatus csv
www kvb koeln de opendata aufzugsstoerungen csv,downloadurl http 3a 2f 2fwww kvb koeln de 2fopendata 2faufzugsstoerungen csv
offenedaten koeln de sites default files zhlwerte 2010 2016 14102016 1300 pdf,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fz c3 a4hlwerte 2010 2016 14102016 1300 pdf
wahlen stadt koeln de prod btw2017 05315000 html5 bundestagswahl383 csv,downloadurl http 3a 2f 2fwahlen stadt koeln de 2fprod 2fbtw2017 2f05315000 2fhtml5 2fbundestagswahl383 csv
www offenedaten koeln de sites default files 2013 06 24 010 bevlkerung csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2013 06 24 010 bev c3 b6lkerung csv
offenedaten koeln de sites default files vornamen koeln 2013 csv,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fvornamen koeln 2013 csv
wahlen stadt koeln de prod ltw2017 05315000 html5 landtagswahl nrw376 csv,downloadurl http 3a 2f 2fwahlen stadt koeln de 2fprod 2fltw2017 2f05315000 2fhtml5 2flandtagswahl nrw376 csv
www offenedaten koeln de sites default files stadtbezirk zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtbezirk zip
offenedaten koeln de sites default files 2016 02 csv,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2f2016 02 csv
offenedaten koeln de sites default files 2012 migrationshintergrund insgesamt csv,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2f2012 migrationshintergrund insgesamt csv
www offenedaten koeln de sites default files zaehlwerte 2010 2016 17052017 pdf,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fzaehlwerte 2010 2016 17052017 pdf
www stadt koeln de externe dienste open data downloads stadtkarte oepnv zip,downloadurl http 3a 2f 2fwww stadt koeln de 2fexterne dienste 2fopen data 2fdownloads 2fstadtkarte oepnv zip
wahlen stadt koeln de prod btw2017 05315000 html5 bundestagswahl3811 csv,downloadurl http 3a 2f 2fwahlen stadt koeln de 2fprod 2fbtw2017 2f05315000 2fhtml5 2fbundestagswahl3811 csv
www offenedaten koeln de sites default files 2012 migrationshintergrund bezirk csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2012 migrationshintergrund bezirk csv
offenedaten koeln de sites default files zaehlwerte 2010 2016 17052017 pdf,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fzaehlwerte 2010 2016 17052017 pdf
wahlen stadt koeln de prod ltw2017 05315000 html5 landtagswahl nrw3711 csv,downloadurl http 3a 2f 2fwahlen stadt koeln de 2fprod 2fltw2017 2f05315000 2fhtml5 2flandtagswahl nrw3711 csv
www offenedaten koeln de sites default files 20150101 straenverzeichnis standard csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f20150101 stra c3 9fenverzeichnis standard csv
www offenedaten koeln de sites default files stadtbezirk geburten und sterbeflle csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtbezirk geburten und sterbef c3 a4lle csv
www offenedaten koeln de sites default files strasse zip,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstrasse zip
www kvb koeln de opendata aufzuege csv,downloadurl http 3a 2f 2fwww kvb koeln de 2fopendata 2faufzuege csv
www offenedaten koeln de sites default files stadtviertel shp xml,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2fstadtviertel shp xml
offenedaten koeln de sites default files shape stadtviertel zip,downloadurl https 3a 2f 2foffenedaten koeln de 2fsites 2fdefault 2ffiles 2fshape stadtviertel zip
www offenedaten koeln de sites default files 2016 02 csv,downloadurl https 3a 2f 2fwww offenedaten koeln de 2fsites 2fdefault 2ffiles 2f2016 02 csv
