0,4
bg pa,1693
maske,5151
rg ssg,28
insgesamt,6872
boot sonstiges,37
boot rtb1,8
boot rtb2,1
boot mzb,26
boot lb lk,8
insgesamt,80
elw 1,125
elw 2 u 3,13
kdow fhrung,120
mlw leitung,1
insgesamt,259
funk fug ortsfest relais,52
funk fug fahrzeug 4m 4 meter,503
funk fug tragbar 2m 2 meter,1528
funk fme melder,3622
insgesamt,5705
lp gro,1
rettung satz,43
ts 8 8,43
insgesamt,87
al 16 4 al 18,0
dl 12 9,0
dl 18 12,0
dl 23 12 dl 30,2
dl 16 4,1
dlk 12 9,2
dlk 18 12,8
dlk 23 12,89
gm tm gm tm,16
hab gm tm,1
sonstiges,1
insgesamt,120
hlf ohne nr,41
hlf 20 16,74
hlf 10 strasse,1
hlf 10 allrad,0
hlf 20 strasse,20
hlf 20 allrad,4
lf 8,40
lf 8 6 strae,51
lf 8 6 allrad,23
lf 10 6 strae,42
lf 10 6 allrad,23
lf 10 strasse,1
lf 10 allrad,0
lf 16,40
lf 16 ts,95
lf 16 12,85
lf 20 16,23
lf 20 strasse,0
lf 20 allrad,0
lf 24,23
lf kats,9
sonstiges,24
tlf 8 18,23
tlf 16 24 tr,33
tlf 16 25,100
tlf 20 40,4
tlf 20 40 sl,2
tlf 24 50,17
tlf 2000,0
tlf 3000,1
tlf 4000,0
ptlf 4000,8
trolf 750,0
trolf sonstiges,4
trotlf 16,7
tsf u tsf tr ohne wasser,9
tsf w mit wasser,33
ktlf ohne nr,1
klf,0
gtlf flf slf ulf,16
mlf auch stlf 10 6,2
insgesamt,879
anhseg,0
atw,0
btgkw,0
btzkw,0
ktw 4,2
nef,53
gktw,1
sanzkw,0
ktw infektion,3
rtw intensiv,4
grtw,0
ktw normal,130
naw,7
rtw,218
san sonstiges,3
insgesamt,421
gw,4
gw,4
gw g 1,12
gw g 2,8
gw g 3,3
gw san 25,1
gw l,7
gw str,0
gw hhenrettung,6
gw licht,2
gw messtechnik,7
gw wasserrettung,7
gw b bt,0
gw,2
gw werkstattwagen,9
gw t,9
gw n 1,8
gw sonstiger,53
gw n 2,3
rw 1,31
rw 2 auch rw 3 und rw nach neuer din,31
rw sonstiger,0
vrw vgw,1
insgesamt,208
fwa ts tsa,12
fwa sonstiger,130
fwk kran,7
kfz sonstiges,67
mtw mtf,282
sw 1000,2
sw 2000,29
sw kats,2
wlf,90
fwa sww monitor,20
bagger,2
radlader,7
fwa tieflader,2
gabelstapler,6
dmf alt,1
dekon lkw g,0
dekon lkw p,20
abc erkkw erku,21
fkh,6
pkw strae,71
pkw gelnde allrad,3
mobtwa twa mob,0
bus,2
kran privat,0
lkw transport,12
abrollbehlter,274
insgesamt,1068
insgesamt,15699
